"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47"
"X140",1.95946360287095e-18,0.0608764246076604,2.70567222120124e-19,1.2102712657983e-17,2.2781371069291e-16,0.101980999262639,2.15910547248424e-18,6.03211474874334e-18,5.75199790758573e-13,0.00932106107663452,8.68003905119165e-23,4.1602260762554e-23,2.30870259960521e-11,5.69536814531325e-31,1.36316676073489e-33,3.84161409092221e-20,3.54214495020642e-24,0.0511205494600925,8.61036384167261e-20,9.90956598238884e-23,2.16230746717626e-30,2.22813800304702e-30,6.07946749463389e-15,1.61184985821392e-07,0.133794398379767,1.63692914504817e-13,1.37862693698806e-44,3.92307882475722e-26,2.79307144262639e-09,9.35455661851362e-25,8.12942324748067e-09,7.15144818999123e-15,4.81415722346735e-16,3.79877017216342e-21,0.100696340628368,0.367064780910842,1.33798051262064e-17,6.7440815811625e-24,1.39841687838757e-26,1.98444944932774e-21,9.92350363762528e-10,2.72793579280701e-34,3.23180371616465e-09,3.5351085624225e-14,0.00854079837139423,1.00589952541523e-17,1.47233575508728e-42
"X126",1.5741048718877e-13,0.00365259369758499,0.00809645769532578,2.78285183241159e-08,3.76208571682262e-16,0.156068484089661,0.000234334854628382,4.60436807049425e-09,1.30194369995194e-06,4.85832327468943e-06,2.92189602187889e-23,6.0797535080682e-07,2.42369379103872e-09,1.00462651438433e-22,7.93357616389305e-22,0.0271500294225056,1.05138927191438e-21,0.0361270082819451,1.59249148908347e-10,2.77319960379389e-07,3.0188867067421e-20,2.04834931561932e-16,2.49199406750923e-16,0.000585895506959835,0.0328057375384215,1.19535540889502e-18,0.000164336047546521,0.00142680960836129,2.4216468102098e-09,1.25735517991746e-14,6.20706923882676e-17,0.00217301873003854,2.96049644542222e-11,0.0117153634529733,0.128925048925872,0.379985919206924,1.3857496616053e-06,9.46833463088226e-21,1.44920806480717e-13,9.10551330835915e-16,0.00787615118314963,5.53206899687611e-05,0.000667325936199734,5.02005145821356e-07,6.8648665055743e-17,1.78658464821562e-07,1.15772314318553e-24
"X90",0.000283733173138697,6.80074270647018e-25,0.00342437554516742,6.74218815191117e-13,2.89284342049702e-11,0.247739377458912,1.95311611717895e-18,2.16233107999049e-16,8.62561894568135e-05,5.0114444550355e-14,4.66536943570657e-31,0.0121401379014824,4.12596287822535e-07,7.54714946360164e-29,1.74316824151371e-07,0.0158797385931069,1.08537234379515e-24,0.0248608814344618,7.30477249126928e-17,2.10232722569849e-14,5.59051239796967e-16,1.23310042130721e-10,6.89505778161423e-08,0.0131630994676875,2.81278577607652e-29,1.45602956354901e-22,0.0321101412453509,0.000320594682565323,2.71103369583737e-09,0.0156826152787072,6.043132278885e-32,1.1444321403966e-09,2.56496269062954e-15,0.00840514861842977,0.141265185459518,0.281071945693176,7.01471265684678e-13,2.03193809019015e-23,6.19397776217339e-08,8.16294572027961e-14,0.00659201730586251,2.98225111665775e-12,2.12152449832263e-05,1.11700796455271e-09,1.35413724615125e-13,4.10565278650032e-07,3.62173086860709e-20
"X132",0.00408495978636326,1.22300616337899e-20,3.05865657618145e-12,3.26407647676925e-16,5.33016109724109e-10,0.348652016222905,4.48032968484772e-18,3.37089674953019e-27,3.56959329173465e-13,2.24209105581261e-12,1.55711350221908e-23,0.00473905790472225,3.25998885764544e-06,1.62465909806013e-12,0.00513967575343807,8.07143268147823e-12,2.41330099560469e-17,0.0281255240961191,1.08010254833274e-13,1.46611483117409e-17,3.88092522999602e-21,2.45486653580266e-15,0.00901614253690866,0.0215592160741921,5.8700509387252e-21,1.80588881132697e-34,0.051906496370195,7.8790123852766e-17,0.00296959144982201,0.0197247577480827,1.67158144850064e-28,1.81854664715717e-07,2.7210200400933e-16,1.53826515931496e-13,0.146798868199766,0.157033610397436,9.63202453870853e-09,6.34328487458541e-23,4.26175314637709e-17,1.1858385630864e-20,0.0115470824176669,1.29170311620355e-12,3.30096221895477e-06,8.5117346125094e-10,2.42926066976848e-06,1.24651217828215e-20,0.00139132467949957
"X173",5.87590898767831e-11,1.0471564403484e-10,1.14417140203123e-15,0.000126587854522695,0.00551594144737655,0.387841615792121,1.84931551926657e-12,2.26421799888696e-15,2.72837525473781e-23,9.87284941555839e-13,4.49866766039467e-11,0.000484555362911327,4.24646732501602e-15,0.00304056210854025,0.0126308282780349,3.06813959592436e-18,0.0048883771146931,0.0552153426060111,8.72214139969708e-15,0.000671372104402742,6.3825719605063e-06,5.70165667040973e-09,0.00386265611748928,5.41841840287419e-05,3.27065400625351e-15,2.63498259513357e-08,0.0258706620809043,1.64218282009365e-06,0.0160832076705176,2.11003368087896e-10,1.55447921834127e-22,1.73890076938569e-13,4.19797337169383e-15,5.85945264120521e-17,0.14612985432064,0.0682451028921788,0.0136805112633247,5.96462419016991e-16,3.54033260156086e-10,5.41526738689343e-12,0.0141953815531156,0.00619386262307871,0.0121587372800609,5.64184927484297e-09,0.000115525445787797,5.38299143537905e-16,0.0625089796461681
"X137",2.33737192069511e-15,0.00184130842044351,1.05088407685566e-16,0.000317881624007043,4.98158439810516e-11,0.342827983292175,3.04377257029845e-10,1.66092180926785e-23,1.81545860127701e-17,8.1580286867542e-14,1.37688983563946e-22,1.15799419782803e-07,1.92935480748632e-21,0.00587056586748043,0.000307146566780578,4.43090981427359e-06,0.00572127887010139,0.0999896987134093,1.35270558628114e-20,6.72357204401489e-12,1.65813480402743e-05,2.67527014738807e-14,5.04679925926206e-12,7.72996755052308e-24,2.29826387843105e-08,0.123270341234191,1.67265180354917e-06,1.9904355633835e-07,0.000236760854852692,7.30538537847573e-29,0.000675001822165299,1.16030064621998e-24,1.99389819884837e-13,3.85987105778184e-13,0.126528998087184,0.00232125620746036,0.0104285144081758,4.92925127226353e-23,1.54682738344192e-09,3.32244838481794e-07,0.00156932317260213,0.0230607636893924,0.0231856615103722,2.15865569496893e-05,4.11031455898821e-08,3.95267554036977e-07,0.0970755942780686
"X122",3.39287764166047e-06,1.12595359172326e-09,6.95924750514643e-19,6.32511441136039e-05,2.59195964034514e-17,0.221669393667692,0.0167551815900881,1.83056524848683e-19,1.47689828240902e-05,8.59818013963751e-09,2.11512526651939e-18,1.41638091385505e-14,3.11891585592916e-29,0.00251242275063853,5.74018632489725e-21,6.03983574511423e-17,2.07005252410697e-11,0.145896549687364,1.04725349962998e-06,1.99937485241227e-29,0.00143008317771752,7.89567319028054e-15,1.13814361916831e-23,1.91164347025792e-23,2.07407978977145e-06,0.287604485867592,1.65174482971731e-25,0.00602325558596647,1.91275186611101e-14,6.92942305422446e-15,4.25289635707805e-05,1.48710206066345e-21,1.58970169473614e-13,1.83549049340428e-08,0.113427888927391,1.88733821494423e-16,5.64022060431135e-09,2.15723415466222e-13,9.82183082620612e-20,1.50801096915097e-06,1.86117966983252e-05,1.48418255540051e-05,0.0149489481006467,1.59155473996154e-07,0.000178086064223654,2.78150869861151e-14,0.0532823029897174
"X129",2.47185397348501e-21,1.76006613280893e-20,5.12206265924165e-19,0.0777606249622513,4.21224439086072e-22,0.126920056809782,0.00147844500410008,8.3558506067331e-15,0.00488511517977714,1.00284335085294e-08,1.42546962868792e-33,2.88336113575649e-19,5.82117341701729e-29,6.24601975544442e-44,2.04377541483881e-19,1.02200130190853e-22,6.88310696777957e-25,0.175631889523895,3.97855765745849e-11,7.24822943819741e-22,8.49416849304744e-13,2.80201113188129e-06,3.63195529711105e-30,0.0101964341081035,4.0218906007566e-23,0.335663953662242,1.10074814901423e-40,0.000636035076482723,1.82636511877795e-20,8.43257788083604e-10,3.67223464284198e-26,1.81179803293542e-29,2.2485750651365e-15,2.75235679902328e-15,0.113149787571404,6.67747639384083e-19,6.08138537269822e-20,8.80816290510457e-21,8.95575323024824e-15,2.82907325199331e-08,0.000904736219331298,3.97591016277499e-24,6.23568888837911e-07,7.32415947549441e-09,0.00962785016454829,6.12316872536967e-28,2.12160522318199e-35
"X84",1.00845201054954e-19,2.73951194788085e-27,2.17992681427612e-10,0.234094582744267,7.52140146946581e-17,0.0843480931829835,1.27771119877945e-17,1.41749976682381e-14,0.0119442531188981,1.08709739136702e-14,5.29993758191024e-35,1.18930571414641e-21,8.28872801110031e-32,8.48815015652627e-51,4.06721559480764e-14,1.77297505173112e-22,2.05828697810542e-14,0.205738772504406,6.29187686835003e-17,1.50412763177482e-14,2.11293084685749e-27,0.000310755787130029,4.79213045829729e-30,0.0118233899849152,3.6954805675848e-35,0.191633735584137,6.68936583528372e-43,3.15165490876512e-23,2.33294874538748e-26,3.74695110171212e-08,2.88789145390293e-28,2.8257444359051e-21,8.27570505702519e-20,1.11828318140042e-16,0.108907209644408,1.36437015406972e-31,2.29912810030475e-12,8.28576978617722e-23,3.37534432360687e-05,8.15497383874954e-17,1.73519400293401e-05,1.22008278131572e-23,2.12922354754339e-09,5.51260830431e-13,2.74569570880876e-12,1.47759883023344e-18,9.70059322255295e-69
"X79",1.02280112515754e-09,5.72454412206853e-19,7.15392986232736e-08,0.306044630526769,7.307157955666e-06,0.069068416715214,0.00218511577163031,1.18740901706642e-25,0.00302654156945057,1.33498606740108e-11,7.26688260667121e-25,1.45429612804746e-08,2.15605164433777e-32,3.36825902503343e-12,5.1901339316069e-22,6.83830472420562e-11,0.000138316932640099,0.270168064208525,8.40846893419626e-18,1.13658979249645e-18,6.69642989788397e-13,8.43526533868859e-11,2.30026019626974e-22,4.61621662001604e-19,7.87097587630356e-21,0.0415410315632336,2.10020950505531e-21,5.59388077712472e-16,3.72154089276313e-31,0.00712025084059225,5.54291709021407e-25,4.98454875744094e-26,4.13511749688635e-18,0.00121956966912094,0.110340288859718,5.21596014410629e-28,0.013531133273715,1.04059489425098e-23,6.08333899559123e-17,4.63325964881162e-22,0.0033089060086535,9.33366734630552e-11,0.00694273824474511,6.78234480899006e-18,2.56764852818146e-19,1.15968924302726e-10,9.12256782052924e-44
