"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48"
"X140",0.0099229069751639,1.19993632540642e-36,2.10432981616604e-14,0.00201752395894998,0.00624258053640424,3.83523675978649e-21,3.83410089217287e-22,2.82733408372536e-12,7.94301822804308e-14,1.48184737963078e-13,3.82086246759502e-05,8.23499165074048e-18,3.68593348397969e-36,6.22972000000016e-25,1.90378777527981e-07,0.0791633431783707,0.330382083065297,1.12101617841757e-10,6.73993629510158e-19,2.46382467088893e-18,3.16237040693285e-18,0.201876611225122,7.69378488752487e-20,4.39006226961778e-06,2.51014609012254e-20,6.45133804126051e-32,0.00422139955928922,2.05141793617608e-20,2.9316476037346e-30,3.16936385333684e-25,3.18635244497358e-19,3.52650715372835e-09,1.18238162007495e-15,6.97081483957063e-09,3.35320329167234e-18,2.37408515589642e-08,0.16795144912681,1.84114122881911e-24,1.3836970365774e-38,0.0346008617861717,6.30353009689276e-25,3.54067888424179e-11,1.23152556599915e-26,0.0279187326170856,4.57747216538303e-06,1.87400806475203e-05,0.00294278114346541,1.13343184492863e-19
"X126",0.00740927420345595,0.0538246049189743,5.14621513615114e-18,0.0098544286176309,3.24044856911846e-26,1.43694555115012e-26,5.49616696910982e-09,2.07942977043778e-13,3.38742710887346e-39,2.11155060874408e-26,1.23715962548739e-06,1.99911523885457e-20,3.45054558105963e-38,6.53844212339759e-28,3.65785389671396e-18,0.0710004008136285,0.349478064570585,3.61570265021579e-20,1.27552662661719e-11,2.19433406504303e-16,1.88745344388245e-20,0.282485041019993,4.82424037421033e-23,1.46125480960575e-28,4.82340225517235e-39,7.13006218789037e-14,0.0054724646422119,0.000385056329771075,2.44130584160827e-18,6.53884567080179e-19,4.46833449414786e-26,1.15744260043751e-16,1.4975111592181e-08,6.21282752549312e-28,3.38438689190351e-05,0.003762161138583,0.045649630273107,2.73164636078267e-21,2.00061820984968e-28,0.0097398059945024,0.00273982115894806,4.03914285519355e-20,6.09664181670802e-17,0.0220722980488144,0.00087329428603558,0.000373995161670466,0.0109914836506107,1.49256589588908e-29
"X90",0.000206191467750215,0.0461101505160032,1.14778602261332e-24,4.06763515378341e-12,8.17089361482331e-24,2.55724145277464e-11,1.48238804209772e-21,1.7881865095914e-13,1.83580113509902e-31,4.16915887208011e-17,7.78697390467961e-05,2.50900837716698e-18,5.64397018800522e-05,2.06440751174689e-19,4.16313672537495e-27,0.076065661000225,0.269272396875124,1.1843109266754e-19,0.0443652750095502,2.10979722134958e-16,3.8177668446075e-15,0.377883858047878,3.46171073342403e-12,2.79384991138382e-26,5.53274941045308e-26,1.15553130044476e-19,1.62420647901952e-08,1.01934772057169e-07,0.0030097625442005,3.7943404904536e-14,1.7794653389149e-18,1.09831391904385e-17,0.0161635575613554,3.94396365417163e-15,0.0116472841335843,0.00439196150269103,0.000611499225280801,3.42190486243584e-10,2.61855705494083e-11,7.01075436606358e-11,1.66714013146955e-10,1.09601663681645e-16,1.2523599693137e-14,0.0226170936055564,2.61035076290403e-06,2.59767006961041e-10,0.00552363781044853,4.4092970044986e-22
"X132",0.000633926153799412,0.0023523620180437,1.49498383895389e-18,3.40476102244133e-21,3.03708942253869e-09,4.26953479836893e-05,4.12051715916812e-22,7.79690719135815e-25,1.29212647523237e-33,1.69392116503792e-23,1.74172284421365e-05,1.40328496114227e-18,2.32464296492796e-07,5.45253904968099e-22,3.24599261016578e-29,0.086407464925516,0.150134549005651,4.97509706600862e-15,0.133336216072103,4.35675156240574e-25,2.07813097804519e-24,0.441110170921069,3.95031338974134e-09,2.26778796044113e-31,2.05135130809298e-11,9.69947565601808e-22,1.1780689308084e-15,1.10787738902832e-27,5.89320497248213e-20,2.30788532994554e-22,2.74704956942321e-10,2.19972861200274e-25,0.0280255908374935,1.42920022175256e-28,2.72655664927776e-18,9.00964846776734e-07,3.70075546571945e-28,4.80793882040271e-27,0.00313640912210181,6.0797495286478e-17,5.72956361267648e-27,3.04256321936564e-07,7.55622457682627e-28,0.0246800046103616,0.000911447981851085,8.73776796118372e-08,0.00464938168708157,1.12196892902663e-30
"X173",0.00145537995556394,4.15785690425839e-30,7.73947408481148e-07,1.64564197141494e-14,0.000129240479780627,8.66334408683186e-22,1.87871549919804e-12,1.15406609096015e-43,1.45926266554837e-26,3.19401014459952e-10,2.95525486052032e-11,2.70054505155642e-28,1.40851351570055e-35,8.27485816324064e-29,3.00151400037239e-19,0.136553348996993,0.0723545417786941,8.07007428996022e-13,0.204579284424727,1.42867652294406e-06,3.11872762283973e-20,0.393008424032426,7.56867547884648e-08,1.08091960974847e-22,0.00111373770216777,3.98624916653264e-17,4.64710135743401e-25,9.04701493349444e-24,6.13385608885433e-15,0.000786138175768437,5.6591480602246e-19,9.85018789384459e-30,0.0127312350762667,6.49669219671518e-32,1.04562592265608e-11,3.88548782920583e-06,4.53318795114726e-42,6.32153432886734e-20,0.00010166936686633,1.3110446676009e-15,2.60286834757573e-24,3.81396439920546e-14,5.45734964285028e-15,0.0204307288120639,0.000591648039312078,0.00526709722542329,0.0153473419955944,4.0150655506186e-38
"X137",1.83633322244446e-05,3.15911600203792e-07,0.000329023684111669,0.00432946210896079,2.10429102594372e-15,1.86900973541575e-23,7.87169365403911e-12,3.32909395235781e-34,1.5238874824763e-26,2.22477591016632e-07,8.68334591341585e-08,7.16178558358786e-25,1.11632425893017e-36,1.06360552119233e-21,1.83040737298352e-05,0.24791248610527,0.0197450894641215,1.15972913231641e-08,0.258321261673279,0.000195326217073167,1.11908357240695e-09,0.255420946619069,1.87571118285416e-22,6.30146405506982e-05,1.42047662498921e-09,3.93652508188724e-09,4.14246071705448e-12,1.1387463988809e-08,5.78027402722151e-12,0.00395874185277818,3.35007991119572e-14,1.18101339268693e-21,6.6797216280384e-13,2.61801808377351e-14,2.36672592232547e-09,2.68499285597179e-15,3.3734861883072e-27,8.85174922930593e-10,3.29849368104309e-15,0.0121356135999954,3.24904795412042e-08,8.97295077095499e-12,5.21447027795715e-13,5.40776111313645e-05,0.000456972499413022,0.00586079188604037,0.0251164627159183,4.76953468899976e-22
"X122",0.000408164504591748,0.0114414860591862,3.81989707436678e-22,0.0137024093927135,1.51275413450318e-11,0.0124870256221449,4.22422493719336e-12,0.0159644429745571,6.23203226363969e-06,9.04587664453082e-06,4.63149979125108e-07,0.00162630915970556,0.00554755070662474,1.16557692488803e-08,0.00379423699782992,0.366495847276648,0.00232394376171736,5.33287915283932e-11,0.235931594787744,4.65641873948833e-15,6.38731790267865e-09,0.107864913307002,1.14043493444444e-13,3.05802570400867e-08,2.60762656871585e-13,2.32138726735398e-13,9.55272648016424e-19,3.49873201402924e-12,1.22098002290458e-13,2.21574848798825e-15,0.0150286833160822,1.96885529189934e-08,6.21979412708689e-12,5.06500099869045e-09,9.1203715146587e-09,1.72429541170253e-13,2.40764876605702e-05,6.69930182131145e-11,3.52974017050279e-34,5.95804954809446e-05,0.00142340463486481,1.499532908581e-11,5.59067285060434e-12,1.85505593082168e-13,0.00991020370935157,0.00077459936827322,0.00553843938318354,2.08071224690195e-05
"X129",1.88576200966969e-17,0.0153032357704857,4.44841561997976e-22,0.00051548639618772,5.93988584492148e-16,0.00771691353311579,1.72488365309606e-15,0.0955111408620253,2.1178029003653e-12,1.69755246423169e-17,1.91887096415968e-08,0.00300108530820781,0.026852233799946,1.13655447643999e-10,2.16154304849337e-18,0.423487717422122,0.00321859427667189,3.16345432805334e-09,0.13886573089165,2.96848551807183e-13,1.95271120878388e-08,0.0648672509035252,2.4499639746345e-05,1.28277699682125e-18,2.54970039488238e-17,7.42381182074701e-14,1.11955127710334e-09,4.30084179749932e-12,8.21605009039433e-09,1.61839167267323e-16,0.00797507668125134,2.33310159882711e-11,1.09735494562991e-05,1.55966508524309e-06,8.72564294826507e-16,3.02502568474922e-08,0.000148247294957231,6.15749625743266e-16,0.0129343371217244,3.30156492541942e-13,0.00779561445006978,1.01244265642084e-06,2.86003371139456e-09,7.80476962915912e-05,1.6877938125559e-09,2.38235677992629e-09,4.39677049291909e-10,7.83904189841696e-12
"X84",7.28285256234323e-10,0.0200373170612579,6.68251553116055e-08,1.30221216789421e-10,1.21360556778545e-12,2.65856535144112e-17,4.91129564667905e-15,0.0894342994142523,1.44622585784924e-10,9.01987626439919e-18,0.0102029841034951,1.03742539256829e-09,0.0222266096899421,1.45144453625114e-05,1.89763673647504e-23,0.395057442251031,2.528475547277e-06,4.15336168867538e-09,0.032183855234329,3.60377895013825e-09,3.14933441681077e-08,0.0695452812030947,5.40901605382592e-06,1.47583329732444e-30,7.72708603162703e-05,1.03912775542609e-06,1.81747417277324e-08,1.99850502751338e-15,7.46997194480555e-05,0.00273604705095856,1.14766506893851e-11,1.76561120047209e-14,2.9488745367168e-06,7.97373390567537e-12,3.98481221470443e-11,0.000834139457615535,9.70934052132005e-12,0.000434537279738425,0.179920694368651,1.53374372711825e-13,3.13404104106037e-19,0.00341408654517146,0.00271152128664605,1.22341741148867e-05,1.09342899954932e-19,6.67166152492107e-20,0.000675053349752747,2.20127424053951e-11
"X79",0.000893963641540039,0.0194561938849713,4.24040735538242e-08,6.0335005861296e-05,0.00514005685376113,5.72629582086192e-17,7.19661516320809e-08,0.019441794278386,0.00463857569870549,1.96044826964781e-07,0.00815050599974385,2.32327223358434e-16,0.00200525585499306,2.51083861220605e-15,2.79533511719728e-06,0.330427699296791,1.9554772624938e-09,2.34538856926656e-05,1.19773545380203e-13,1.90512638166575e-11,1.75145634871058e-23,0.0810197977597293,6.45097941137962e-07,2.2819751784091e-13,0.000171517415832488,8.24864265342564e-17,1.34901584370777e-16,4.88507062735357e-12,1.29137395348427e-17,0.00050870365959952,7.53148635452857e-14,5.05108804436411e-12,0.000268679277795783,1.87189644845401e-15,5.04003217867121e-05,5.29014125199659e-05,3.53837018067362e-10,1.29598258263125e-06,0.297432303054194,2.16158918590539e-06,3.12514881179108e-25,2.56477044677014e-09,3.84884739209383e-06,0.0385034574880988,8.71309439600327e-08,5.1172646552688e-11,0.0324367694541624,1.52434520269431e-19
