"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49"
"X140",0.00335856487600861,1.57172799968976e-12,1.02878116464246e-22,1.73431842765281e-08,4.69758741146172e-10,2.99527095820568e-11,8.0441527852702e-18,0.283783887388476,4.43769955560391e-08,8.28222238202061e-09,1.08242658618679e-11,9.21985845825514e-14,4.61683056606023e-39,3.70959932421925e-36,0.0519638842433,0.0551978682817654,2.41032002317191e-18,5.6565080907676e-26,2.39680617924679e-15,0.000576907003342635,4.38518622106735e-12,2.4095874063762e-15,7.05947903172689e-17,5.495804657745e-20,1.78941152171992e-14,0.00358773207734329,5.53253167224069e-10,1.16700628125661e-25,1.79340901180578e-14,2.19006328090851e-31,7.59394307870044e-19,8.90556491136704e-21,8.52956448210062e-13,4.3549393199682e-27,1.05211796653301e-06,5.16977473178765e-09,2.09563239354197e-13,0.182628251722256,2.48388002348558e-17,3.28430816209156e-27,1.31474733304409e-16,0.154108730533644,0.253403462271307,3.039278481877e-16,2.25586834403676e-21,2.75409151729762e-10,1.77087476603526e-05,1.61375238221339e-25,1.37309375590825e-24
"X126",3.26971979815825e-05,5.79410577587245e-31,0.106828722425096,1.90899147108128e-16,1.5811613458596e-14,2.55624527906133e-11,1.92727644858294e-30,0.265709592409132,5.34518156137605e-11,8.38923588945146e-29,6.66104005222159e-12,1.5711110768362e-12,9.27877544179647e-45,2.12940369951579e-38,0.0403431990309833,0.00720465439776556,6.72297848505404e-25,6.62663791856556e-21,4.55908656551024e-35,2.37974405553897e-18,1.91593416217355e-12,4.50254061419891e-17,1.09985058339499e-16,3.18370349730538e-34,8.34283811326434e-27,0.0147601322234038,1.37576047389701e-09,5.88521077104964e-46,0.0340453036664451,2.31932270773164e-31,5.48497574373768e-34,2.13830786055528e-24,6.50914018582483e-30,2.88951818530891e-43,6.69952468091738e-25,5.97472778719563e-05,1.82640724266989e-19,0.214346601317747,3.74631164247629e-17,1.32802624761677e-37,2.49031522758079e-31,0.0336295931812933,0.29499146586748,2.16670718162496e-29,6.88904562744432e-21,1.34812738076459e-15,2.07360068982616e-33,3.37159196330441e-35,1.38880793839713e-21
"X90",1.9320271013729e-17,6.03396194225229e-32,0.0618958967108642,4.48108987931755e-24,2.62388577273702e-25,0.0161129053772199,8.07475242610717e-25,0.167174396685789,1.47186414719009e-22,1.58245364011984e-32,2.08577918070691e-28,3.29596926350774e-17,8.11733823494723e-19,5.22341794429856e-11,0.0498152952399932,1.31359339032761e-30,3.23855344649261e-25,5.77281335530314e-17,3.19387841780514e-42,4.20474230955948e-27,2.91891481845567e-16,1.14559941723744e-13,1.55587153927364e-28,1.44493694161711e-40,3.09545936319351e-15,0.0152911770072172,4.97924846286538e-22,1.81262255480603e-36,0.155959663768158,4.7202139179546e-32,3.49121606948551e-22,1.19286769417297e-10,1.28695142335929e-29,5.71305665439565e-49,6.05085679694881e-16,0.00587507336270103,2.34505528866206e-14,0.239207170622998,1.29137893322655e-14,5.67465885887638e-28,2.29857368104246e-25,1.95074247595651e-17,0.2718312254733,9.28969438660923e-23,4.74066747861737e-28,1.62685782509959e-15,2.28570439936561e-28,2.71538926533154e-34,1.34377735199592e-13
"X132",8.57820363457257e-16,9.81286363887428e-28,3.26149562560502e-13,8.01797151999689e-25,6.16670463578139e-24,0.0044833638049974,5.38917516518405e-27,0.0590297802437742,2.85227671779178e-15,3.61171103009846e-24,9.1266579624111e-33,1.03242180688806e-05,0.00470317374529598,0.00975987139826892,0.0746440978498528,7.41738453215268e-17,6.34410642815062e-13,9.60942172469632e-21,3.36406846317476e-32,2.61435619673185e-22,1.0174075477841e-21,1.84816395485532e-11,6.9873021767451e-11,8.70055463859179e-20,3.22117571352422e-05,0.00378042979962664,7.45895073834578e-10,0.0067053807141381,0.290158908661873,6.53447159447485e-18,2.64632530737276e-22,9.29162266516303e-08,6.0674142079767e-26,7.36253293463928e-44,0.00711459815346366,0.0033959990537959,4.36314231073855e-06,0.258195357721144,1.43399350889449e-15,1.5021377598354e-24,3.61721888432978e-28,3.97394763261718e-18,0.233211785245762,9.06359479084067e-22,1.09684580922093e-17,2.40011281248855e-11,0.000149147589300456,4.43222923369361e-21,2.39918541327122e-18
"X173",0.00017627316800853,1.40497449181042e-15,1.78989441291557e-18,2.1748624890353e-21,8.48072390901252e-12,2.79651960528779e-11,1.10808867461771e-16,1.89007883092107e-05,4.79520509799627e-15,2.98065478357562e-28,6.08454181817217e-21,6.84737338748525e-14,0.0113788827838456,6.91898442035834e-10,0.0934910647866731,8.56226664950671e-14,2.46960428401256e-11,2.47615798336074e-12,3.55136372412598e-29,4.56683201896878e-18,1.23015222400358e-11,1.7084633429868e-14,0.0152222690130075,3.83867471079181e-20,1.40045905580843e-11,0.00051203505065769,0.000776189759879031,0.0962687592959902,0.275234209343398,4.00941691975654e-19,3.31074986753875e-15,0.0042991735677853,3.72888324363307e-13,3.42788980671561e-30,3.24319246738883e-14,0.000278804320079255,1.55905495340245e-26,0.269857264738388,3.00519553289688e-14,7.04099981280125e-35,1.80929554064075e-29,6.11740035719281e-23,0.163507433221085,1.00162382342924e-15,4.20247855680198e-07,2.02951026664651e-23,1.93064171787776e-13,3.26871249813926e-11,1.26866587943165e-05
"X137",0.000556141583427688,0.00493255974045736,0.0119510671020337,4.12685382478724e-17,4.50356065025309e-08,1.22393965408613e-24,6.73745182616165e-05,2.83267962298608e-32,1.86574746999176e-06,5.86769399406283e-28,1.33672955667481e-08,1.33290550096e-11,0.000743522032129789,4.98745266856943e-16,0.079835086597348,0.00115446485367902,2.73324286583013e-14,1.77418060934329e-08,5.02560848913818e-11,1.99736240342036e-06,0.000223658880121294,2.98329406533874e-09,0.0160014070579668,4.0109426721664e-24,3.27045452906912e-11,1.72263525475059e-08,3.64082692600236e-12,0.250772528712739,0.130798079376901,6.14754394790705e-36,1.08673592564309e-12,0.00702034012633,0.000385023493355542,1.31131928776333e-28,7.30945539964081e-16,0.00022956633428789,1.78677024159018e-12,0.293491895876427,1.77496743831769e-08,3.52882829920705e-15,5.48722421059238e-17,2.75409307648642e-19,0.0805634909656365,1.54778333701582e-07,2.4787744875106e-05,1.06006565772618e-11,0.0271341035222269,7.44801457261759e-16,7.1504038529379e-11
"X122",0.001481201526119,2.61562258867563e-15,8.3225319391093e-18,7.72002883844074e-14,5.54979798009534e-09,1.74832200783314e-17,3.08282264150475e-15,6.59617922412271e-19,3.05441967489457e-23,5.96051342299347e-09,1.89306265224585e-12,1.83034048361792e-05,5.35667561011914e-23,3.91181292295237e-23,0.0704966811053269,0.000183653268820856,8.1599518466945e-07,7.06364408858125e-19,0.000144804202475089,1.09010163312031e-06,0.00716190863249111,0.000257990584076819,1.73713217268658e-26,5.07326428892578e-14,1.1582898794035e-46,4.76365311596768e-22,1.88607869481292e-13,0.322209978329722,0.0018104730596538,8.72530040429704e-27,8.51899576125998e-13,0.0050948842971092,0.0193200155622706,1.23359644023115e-27,7.05388101039843e-12,0.00085432877759563,0.000308422436634259,0.306492337634402,0.00655567098796051,0.0590476576163207,4.85913883552366e-11,4.53094972405977e-18,0.00733420300135017,3.63478586828537e-10,0.000614201380227811,0.00158218396039503,0.0864534560398969,1.81039687673474e-07,1.50076982697966e-23
"X129",7.42138788666453e-12,5.25701196904382e-11,2.52982417907447e-17,8.98377489584803e-15,0.000136123098850872,5.32760798311551e-21,3.69433222760131e-15,4.31594849685483e-05,3.88941361927663e-48,3.44781619352523e-13,1.33658793271053e-16,1.86279030945078e-12,1.00341118910003e-36,5.89295006211081e-24,0.0791697547882222,3.75385386581978e-13,4.22142067899712e-05,4.36722370880182e-14,0.0033863120583097,5.18488548784075e-10,8.52932419593441e-07,0.00259324692382313,3.04109956591632e-35,2.30493201633857e-20,2.65483888288488e-28,8.49294308298979e-28,1.50298779824517e-18,0.187690419147701,2.93884269011596e-20,9.27992241893015e-25,2.51817034704897e-09,8.92572860665331e-08,2.6094453739466e-06,5.53125937317433e-08,5.80018780751022e-21,4.76468497517266e-16,3.91177812458597e-05,0.294300216430641,0.000132072530327021,0.211643252278083,0.0085347070822383,7.33830821966078e-20,3.78674929576106e-15,9.08234261176879e-11,2.41691099386591e-07,0.00988392652808357,0.11764050615748,0.00106481691957807,9.3384724013727e-10
"X84",9.60261089784292e-11,1.25919804262431e-06,5.48711887841458e-05,1.22626218988933e-07,1.4089386203544e-13,3.21313133847452e-20,0.00222318470863622,4.98295249829006e-15,1.10296617837457e-35,4.26436611560289e-16,4.67143528925559e-28,5.30185408500992e-10,7.81973564829853e-07,3.11773311029476e-13,0.0939567506359356,1.08680478711027e-17,1.2039572137374e-08,0.000323086476513819,0.00517620404715336,4.02680648430992e-07,0.00111680081545728,0.00326076571011525,5.16628643542374e-05,3.49220877560471e-16,0.00705334448652299,9.22838261740478e-26,1.4952748181472e-20,0.0316590069114153,6.3853709120229e-06,5.1273826935468e-14,1.91848631056086e-08,3.61260786779013e-12,7.15734394834806e-19,0.134694441612404,2.88420703056756e-22,4.10388364383929e-15,0.000747813618786635,0.286105840256345,5.18769088486927e-08,0.2926734885183,0.00410454664903366,7.79650275334017e-18,7.62536478545915e-33,8.14936032915676e-11,4.85815140020436e-06,0.000206135566821909,0.0812217599316437,0.000273695433533549,2.76190646293737e-09
"X79",8.97051811120939e-10,1.82820709110433e-08,0.0109363575212599,0.000160963527548242,9.91529689220231e-15,5.60212020282803e-17,7.60086199304636e-06,4.9370779800549e-32,5.028208993471e-07,1.28233656552012e-08,3.33419662321378e-14,1.14405955773025e-20,0.0113876777820336,0.0197476541277579,0.129715958323926,1.15550872629858e-12,1.57324523557227e-13,1.14022738270386e-14,0.000912308051676569,2.62232755297224e-06,6.55733887684862e-06,6.61762386918641e-21,5.22531204841573e-09,0.001562385468994,0.00809062394717996,4.81444298449455e-15,9.19220407884564e-10,2.99102359446129e-41,3.87857946792191e-06,3.33698798209372e-11,4.11233144507373e-07,3.46406343673064e-21,0.00133435819893778,0.266955338791045,2.9385771364078e-24,7.33340010531917e-08,8.57013662824029e-20,0.280626245272728,1.36180265452796e-09,0.212242944625669,3.07954403469208e-15,1.92576813597678e-05,1.73807454997512e-46,1.15194556003703e-18,2.65683358121812e-11,3.85630949664303e-25,0.0217913996924704,5.78045190124692e-14,4.49056874848395e-20
