"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50"
"X140",8.56258406326777e-23,3.89432493235114e-34,3.16472717122315e-21,4.42704267099898e-23,1.86020567235225e-17,4.82433436352968e-13,2.56244812461382e-15,1.08517247139673e-18,4.36177455263814e-13,2.39950618937824e-14,0.177759666014433,0.129355809545405,0.372350365065679,0.0412242533555735,3.82294349191443e-21,0.0473013151822054,2.1744018888659e-15,0.0264918898069529,2.31970242255932e-30,4.18111860907546e-22,3.93575647293469e-21,3.39566281498846e-25,0.00920578539188205,2.26508446262828e-17,2.33095268076422e-29,4.6508125868366e-15,8.19565821824223e-09,6.57760476058168e-26,3.28871677204544e-05,1.24268227581813e-12,5.66230967977022e-16,2.89851245342989e-09,1.88597482026773e-05,2.44599745394904e-34,0.0364949422343823,8.24400825272708e-23,6.11161541080186e-26,1.81182647289315e-28,0.136378582859148,1.88792202229784e-15,1.36911325581232e-22,4.23849078982466e-14,3.605724033422e-23,1.57442401960229e-06,1.37414712970802e-28,2.32044771205842e-11,4.91265519423692e-10,7.7417412428275e-21,1.02384890395298e-14,0.000302216376229109
"X126",4.44060859481326e-25,1.23754473945023e-26,1.0804975551524e-24,6.55243649478402e-22,1.52958007157002e-25,3.65528764299189e-09,1.41250493265051e-08,5.6192195202805e-32,1.99306556319927e-19,5.32006238439748e-19,0.0497488281706069,0.132199413836064,0.402326552026085,5.8287432421326e-17,3.75001778439592e-25,0.0613160187914173,5.75476452020619e-17,0.0407531373933786,3.55396957476321e-27,1.43053244070886e-24,4.32377080165309e-14,2.05953371751574e-27,0.0538547858280399,1.49129304488023e-23,2.79297292867137e-19,0.00576040430820435,1.01626489649941e-32,4.50343746259564e-23,0.00456289365956275,0.000545231057888077,1.80582436707435e-14,1.80408801467919e-20,6.14227734492424e-21,1.77181966576725e-20,0.0208964624887998,2.9910191412235e-17,1.00406366886311e-33,3.32798638349715e-21,0.159789047146135,1.94450827528542e-06,2.41821600742616e-11,1.13319679302562e-27,1.00326186830069e-20,2.53645323973158e-41,0.00329521838794068,9.50898763281057e-22,2.44360254163311e-15,5.3620991104218e-27,1.66960118437763e-27,1.65420817667268e-10
"X90",3.2232400962277e-06,7.41506388008006e-21,3.4013171415383e-19,2.17192726805116e-11,1.94878294636331e-23,5.1366283325095e-15,1.15941425136577e-17,5.26714717395523e-23,2.57898470828362e-11,7.44343563407702e-14,2.05954672097042e-06,0.144380435536945,0.321465429912143,2.98848167072522e-52,2.22223954740396e-33,0.0968571839138881,1.25580607534964e-21,0.0427432269576369,5.89690657670594e-26,1.44927891207788e-28,1.71716917655735e-20,3.50251491256098e-12,0.153268126660755,2.67402727777513e-20,2.76012108040342e-21,0.00277990896824523,1.066184751971e-23,1.29193836488279e-30,0.000114253581870377,1.07094870376152e-12,1.06806154062085e-17,8.51017523287283e-18,2.43399150709262e-24,0.0350407283162849,0.00806040918559782,1.80683888233844e-19,1.15714138283558e-23,1.19802190472834e-26,0.120078704438918,5.21023600315233e-13,4.51737608644359e-23,5.96133334708522e-31,7.34865368714281e-21,9.26916097393322e-31,0.00448319407534652,4.72206320396995e-44,1.17240050636413e-18,4.51623051025621e-16,2.53451360138301e-29,2.24768850574302e-19
"X132",0.00546651105443892,1.76219122590278e-21,1.7445363986435e-05,8.4179771548373e-11,9.96770010209866e-23,3.54547120044218e-24,1.82063828941383e-16,1.17234349929703e-11,0.00201990020803274,8.51370771635888e-06,1.91602628676707e-13,0.167634814183759,0.206725377782276,4.78614226942476e-26,2.60226327139087e-31,0.111403790692605,9.32473802941972e-15,0.0414861109592592,8.49496831329124e-30,1.46561799195285e-18,0.000396821770215729,0.000600847879088762,0.268317636675765,1.09799158085103e-06,4.7537895987591e-19,5.02147859132201e-13,1.17813513756e-19,3.93035830021209e-39,0.000502828967202492,2.65566636825774e-18,1.28208276354908e-12,3.32870724959121e-07,1.63085974006006e-16,0.0482553938742014,0.00374644029425113,1.04069920938635e-18,1.21268173450798e-28,1.05907923764676e-38,0.0539162863417088,2.85774258555636e-17,9.33546512910193e-18,2.73941450698135e-40,2.59432931373325e-24,8.39736247067917e-35,4.73271491133701e-13,3.06418222867562e-30,1.9236793870889e-21,7.46563500453387e-15,1.36860323721894e-16,8.41007671693247e-22
"X173",0.00601507996511872,7.64625328111007e-08,0.00452484302271033,3.87417668213808e-13,5.95616070823369e-08,3.738426181096e-11,3.05971566920056e-13,3.48171645788043e-12,0.0170465938080831,1.50445213405091e-08,2.37033349947219e-23,0.204212780168097,0.1145742187688,0.00361989862980013,3.54428593110059e-17,0.0844572729227607,0.000239828542079785,0.0408692592663702,1.51726442674653e-15,8.8671537361466e-05,0.00548002636208157,1.12229351886256e-09,0.321640105467235,1.17782502272699e-07,0.00576539294357822,3.08272956982886e-10,7.14494445473038e-24,2.47035138472484e-26,3.94422941740964e-06,3.90969512536932e-14,6.03583764651568e-08,4.37906723835153e-07,1.9418340493595e-21,0.000501187112215974,0.00148409922919231,1.43152654726034e-10,5.21736689071892e-09,9.23513069150154e-19,0.0233253377136763,1.86678401725889e-08,2.66554679957649e-13,1.77052458959976e-17,4.51533788389322e-19,2.23835290818673e-16,1.56241261812642e-18,0.0240040645032789,2.87640866640862e-11,0.00016484064117549,1.43269533712421e-13,1.59697150456471e-13
"X137",6.06844649438431e-14,3.93545799957099e-07,0.0101305439285703,1.59923857011322e-16,3.64798249827653e-10,5.25367608078607e-10,8.55667241089751e-13,2.46391191575771e-24,0.0154224172497253,7.57524514009632e-07,7.28563581675317e-28,0.264526487184515,0.0274359203005951,0.015930729710841,1.87949631226134e-08,0.0344533591743381,3.20906488544904e-06,0.0200039828187712,0.00185191813796264,0.000320381783796986,7.4526768633791e-16,7.08328191797308e-24,0.282813379046999,2.56497861561773e-22,1.06627470605758e-07,0.000463300236313352,7.65006195009853e-10,3.87289363450775e-12,3.28203169816009e-06,0.00879189818615661,2.93567956750358e-12,1.47443276169933e-06,1.1593506925775e-50,4.39025348739666e-22,8.30636504588628e-18,1.28220806971414e-12,0.000532998824225217,8.59846344723099e-09,0.00336298937600519,4.04711361686918e-06,4.05383840534036e-16,1.85674001128018e-05,1.29939012646091e-10,0.00171437659466454,3.63892710122658e-11,0.0609075276595728,0.0747733782306134,1.5501268786452e-11,5.52029013242609e-16,0.00152975514605157
"X122",2.64507204616548e-28,7.58350471411392e-09,0.00936120409136514,2.8319964197803e-23,0.000522626730151487,2.33443868295472e-19,1.06863774541899e-19,8.67484945276662e-08,0.010891682134565,0.000551639126714379,3.592157271674e-05,0.312486416822385,1.14114707815722e-16,0.0109112464264803,5.12434365726165e-14,7.06368383813167e-13,4.7111354939372e-05,0.00661139986463859,4.89539773009071e-15,6.16080556567391e-06,2.38460695660243e-13,1.66086294858037e-15,0.167708397459906,5.34993857462528e-21,4.12794784211019e-29,0.00141232127014661,0.00347107409624295,0.000334027415017898,2.82764152497525e-24,0.00019204159470255,1.0032702404818e-11,1.81469005252012e-12,3.99109347510789e-52,0.00304815848484391,5.17798798964544e-30,7.75547134524728e-24,8.38556912710282e-13,5.30243589540925e-05,3.96523997114967e-10,4.83090485050052e-16,4.5895342441937e-07,0.000822804269227931,6.44691311742405e-06,0.0354414319000251,0.0182001694576587,0.031491638916373,0.199532089485648,1.04073292432328e-20,2.19362309425452e-28,0.0144760106185358
"X129",0.00484820233342141,0.0848048450974951,0.000713934811084237,7.85306397327777e-07,2.64793082120495e-08,9.56321591287039e-12,7.58366571895371e-20,3.39128462378487e-23,6.80297831216461e-05,5.52871655711451e-22,0.000328781921196578,0.330561632430377,1.65648195389019e-18,0.000421251487312721,3.27410746655137e-08,8.10005692607241e-12,1.40968580124062e-19,7.64366876658492e-12,4.03437135871313e-10,3.53111616164517e-12,2.61439555094241e-18,1.3623285593369e-12,0.0533230597090885,0.000329689156265943,5.47859555082689e-16,1.13695995473697e-10,0.00770525834284316,2.29539930155367e-08,1.16376283141688e-29,7.58488698325376e-12,1.04356522756042e-07,1.7661344049976e-16,2.11158894346008e-16,0.041117503842747,1.02362599565081e-15,2.69298712665175e-23,1.65407726043751e-16,0.00878756559654864,1.66696272727443e-12,8.63790754886884e-22,2.22674462457556e-11,5.55665492796414e-08,2.07717155591117e-05,0.0673882634575409,0.0174351640109413,3.82518371907234e-26,0.235960401740991,2.54360851734354e-12,1.85656620528647e-17,0.00848784072450181
"X84",8.78417656561026e-05,0.262531933300002,0.000210252732665831,0.00287003940245336,2.44161261629468e-14,8.05418514136951e-19,5.54941232801939e-11,7.72163052860978e-24,5.60941703787982e-07,1.21206576420683e-22,1.14883648210358e-06,0.322478258399153,9.15860236102745e-17,1.16285297901655e-18,4.94498266682928e-13,0.015812809116043,5.93751265927604e-26,6.13634070796096e-10,0.00285235521326495,2.51594727542493e-21,1.06767737824225e-20,2.36774339159969e-09,1.25211373162595e-12,1.65084589621629e-11,7.44092046018434e-09,1.94832398773849e-15,0.00452550810250143,2.39413905474749e-09,8.62752531784069e-07,8.59764356690431e-15,8.95169372798377e-24,2.03445911101043e-20,0.0175362424995202,0.0529049490874186,3.62297100862964e-18,3.72847082091112e-15,1.23218979051687e-15,0.0156285043046232,1.86514160666659e-28,1.82058506277471e-15,5.0315896676406e-14,3.48701947831639e-25,0.000765902019933203,0.0486239285979952,0.0187584421056216,5.13972875039873e-20,0.120818287328428,9.94223919863744e-05,0.00396538928599931,1.07239662985915e-10
"X79",2.43803980702811e-23,0.338178547964527,0.00661934404378503,5.25151180636292e-15,1.0704531557258e-13,3.3976706729457e-27,9.51082429567879e-12,3.12641461274226e-09,0.000309821880803292,1.05057994947449e-14,0.00141795312616215,0.315787617588774,1.26155510249359e-11,2.77874045138472e-20,5.10895687883795e-14,0.0061629702363549,0.000210477930819312,1.11515760433133e-07,2.8612659881118e-10,1.64924596527916e-09,1.65719144649612e-09,0.0564534861991675,5.25211397649436e-16,9.30613013668312e-13,1.17066279516657e-09,1.1624928146711e-10,1.14653854339586e-12,1.5663229488071e-12,0.00783173883303413,1.64841400285529e-12,5.9988594613702e-19,1.14416454930395e-16,0.0242811770181588,0.0714168468323021,2.58500700797565e-20,0.00327512297088649,3.80683931624678e-19,0.00676401787125612,1.35767420581391e-09,2.24417987179704e-07,7.38719818790413e-18,2.21902449005176e-32,7.76538256562788e-05,0.00331689525021971,0.0191100730445917,0.0181572826100667,0.0030715314026023,3.61797631457277e-05,0.00107675732249339,1.72193784727479e-10
