"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51"
"X140",0.00116761827758587,2.16444730956073e-41,3.74576163225069e-30,1.06678209184975e-24,0.369560350324846,8.9979075169235e-20,2.17849506490151e-12,1.29278055793395e-45,1.08420818642713e-23,0.141265943873616,1.78787619636835e-21,4.07024111864895e-16,2.16583587722485e-11,5.44923172347473e-13,1.20577488235148e-11,1.13134188248765e-21,0.145124918392005,8.14495194912023e-20,8.97585798866333e-59,3.4817856325562e-19,4.43061101693853e-24,0.0105656990484426,6.95690427921611e-14,2.29113019034283e-22,7.98660336535993e-12,1.57835004628489e-09,6.90896978652586e-31,5.12335202960527e-27,1.73646453000677e-11,3.25946658964307e-14,1.3703322792268e-21,5.28899760679438e-10,2.01390464012807e-21,9.66415893983707e-16,3.23592751717459e-15,1.44823336105929e-17,5.94599332104863e-07,3.25758748343004e-20,4.98110890038553e-13,2.69547702609726e-05,0.16519174512563,2.24726331772409e-05,8.41890433925461e-31,8.43765058857157e-23,1.44944684676446e-17,0.106129103457233,1.4956665362685e-12,3.91312385896807e-19,0.0104266262500595,1.05718100386807e-35,1.82735890904862e-05
"X126",6.79040133579719e-14,0.0853189843278219,1.75700077576073e-47,1.561740801732e-15,0.39906114742599,2.82019835760796e-27,5.96390147306941e-16,3.10200846235077e-37,1.89079675455491e-18,0.215827051323697,0.00183284160314578,6.97342104051136e-24,2.37683656201271e-13,9.35024561895801e-21,1.35687997277041e-16,5.89181164262616e-17,0.171936096452293,7.49827681567502e-18,8.68547397300675e-73,1.62112187371514e-17,4.09787193412183e-14,0.00776817986858971,1.53484345709023e-10,3.28430410853707e-32,4.29998281651652e-12,0.000985788673774805,2.17468986600414e-05,2.91295254491216e-18,2.01881242515237e-26,6.95612376465189e-06,7.0453051110765e-20,8.05566741518406e-31,1.39334897154265e-16,2.93067013421859e-17,1.14802399807406e-13,1.40239008112333e-09,0.000453468190257985,3.03475848323097e-16,0.00216409648266633,2.25757652337208e-19,0.0817084599488731,6.73113231080297e-10,1.13675703931042e-22,9.15049966085476e-26,1.8294056623587e-17,0.00584151525100754,3.19860574381955e-15,2.42368647844962e-16,2.46686530849636e-08,3.67422073354517e-10,5.57447457656537e-08
"X90",3.44707257021627e-20,0.0359226646037177,0.00555913476799641,1.23242768196801e-12,0.321553000046,2.45600034964793e-22,8.64204802153349e-23,2.87018182932866e-21,0.00959922704558435,0.229314130643602,0.0836116219012693,2.84170423260829e-07,1.49073120067856e-09,4.94875496912638e-24,9.80751229774493e-21,2.08186147025991e-23,0.197733633681411,0.0116287672425182,3.44659975735239e-15,7.80189362071273e-16,2.13624507658153e-12,2.59946581401995e-06,1.16464391741993e-05,4.56228593663149e-10,4.0796014279918e-13,0.0217701593057616,3.92612650959359e-05,9.40638834096291e-14,7.84921345799356e-15,6.22065771089484e-05,2.3503483981435e-10,1.43008885945159e-10,5.99397764668241e-11,8.5828322268903e-16,4.62794635346513e-21,0.00459039132369366,1.07122191476066e-05,2.4389782191576e-14,0.00638049710807346,5.82643198235454e-14,0.00250282639993302,1.5516295244698e-12,1.85874398369762e-12,2.80221885284285e-06,3.41741676702137e-14,3.59685001471502e-32,3.16346559014819e-10,7.43203705205109e-09,3.82570124063256e-11,1.87839850770783e-22,0.000160040053808015
"X132",1.06662077974996e-27,7.85702845345573e-06,0.0612579129682389,8.85547648416832e-20,0.215642641706228,6.03754884200752e-28,1.09334131251563e-33,1.76148266338558e-16,0.000156348251155668,0.182517804794303,0.186381570791775,1.92895651875695e-16,1.88818684175324e-21,1.13180734594383e-38,7.40870770784912e-19,2.65652542312468e-24,0.220301628034745,0.0196854525944268,2.52625466481628e-20,1.49591225086218e-33,2.31211365334486e-12,3.14486568187322e-08,1.55766030493611e-18,2.57923795674278e-08,3.41618080012166e-14,0.0203870987929249,9.79230846400948e-24,4.86477276888846e-27,2.9273319333569e-19,1.97676430494444e-10,9.16526996338428e-26,0.000711854532390986,1.27594290176026e-25,8.55549175519397e-06,9.72661121114654e-24,4.94207348979706e-19,2.25795600505711e-18,1.96319676654536e-21,7.184655756704e-05,1.02072451116496e-10,1.00970419481736e-38,1.92272921740554e-14,1.66216502835331e-05,5.53124828179657e-09,7.65186310376549e-20,6.81360184316665e-25,2.07253671690306e-11,4.09868370006255e-20,2.62058090570416e-11,1.73048337245538e-44,0.00191830360888604
"X173",1.52522819108487e-23,0.000149800392154965,0.0527105772818386,1.44256213314546e-07,0.126378721667005,4.82369292047815e-09,3.53476390823552e-32,1.44402027360987e-07,5.96342021799499e-21,0.139952563711607,0.248187977634493,5.15261121781381e-30,2.28947625708059e-11,2.66787228050013e-28,9.13150001383361e-14,4.95442357238939e-13,0.250788691151216,0.0146110545079766,9.62998001689002e-16,3.68282893758477e-23,0.0038910044841077,0.00438760874184343,1.58408973920221e-27,0.00268553689213017,4.44786202110561e-05,0.00011754204469315,2.83861961116159e-15,2.3175055612714e-28,0.00355002303000591,4.77396617861242e-07,1.71555986595171e-14,6.7201757775106e-05,3.2176991160662e-15,0.0309703072795419,1.43250074072686e-06,7.25765741752391e-12,6.56404015243334e-29,3.23330173878927e-22,0.00284442863254264,5.37224918462175e-08,1.59841511118227e-47,6.8937494528546e-27,6.57818893150738e-05,4.06814884228056e-13,4.54445495513625e-13,3.85954142171027e-19,4.38658338066913e-06,1.48113149665199e-20,2.39232536715232e-05,2.3102331244929e-26,1.55910334553901e-09
"X137",1.28225659060368e-07,3.7373910878305e-05,0.0186752392732827,2.74851104457237e-18,0.0388720262924089,0.00852089487509847,2.20886359957038e-18,0.00088722423201273,1.48044124795193e-24,0.0686309323071296,0.275134178961214,8.85881726960897e-20,7.73583981252684e-06,0.0381240468533337,5.65466650081407e-15,7.99143837578053e-14,0.289158931423472,1.72366807353563e-06,1.02005753586874e-11,2.97239177200001e-06,0.00020857830856113,9.75089727587039e-17,3.89711389013113e-29,0.00462091035241219,2.10424776783213e-11,1.48317174603049e-29,1.16984816533593e-09,5.45596543312692e-13,0.0118189485956883,6.55404740586481e-08,7.07898295625415e-12,5.11973454238318e-11,1.63681920348564e-13,0.0579965312574406,3.45095457192325e-09,1.76879212459165e-12,1.37811003753435e-19,1.35448060338043e-10,0.00127469328758632,1.01665086308186e-06,2.77041418669658e-24,4.40110570241193e-08,4.06532409368123e-13,8.28085771405757e-08,2.71662176986731e-12,2.38186697538141e-07,0.00281522695702323,8.15699498339907e-10,2.27698957747774e-11,0.0176023638761992,2.27819190943258e-19
"X122",1.52518078261686e-11,3.87126163914888e-23,2.71522832455955e-18,1.38089278370842e-27,3.65082312131436e-23,4.77008236856316e-26,3.73201993442918e-15,6.90619701502259e-06,2.37178888933407e-12,0.00402398460384269,0.223531936375145,0.0126264098231417,1.15329437456683e-18,0.139706792124223,9.22467401263717e-05,0.000310835076976764,0.307678007650011,1.98403451988116e-13,2.67952862517356e-08,0.00148991847305339,0.00011992145469936,6.17298720747873e-10,7.50598127525933e-10,1.14000240028068e-20,7.23093039387611e-28,1.35683336428545e-22,1.76421636438968e-10,0.000653862917533748,0.022168638670198,1.18360062472297e-16,0.00293297743885921,0.000349104380072154,5.31492429110515e-19,0.0158628343103672,0.00220759070567667,4.35562440362563e-13,0.0114935669218423,0.00552355670908864,4.95319335844662e-20,0.00189971546351208,0.0247387409890006,0.00588602126213366,3.08775771903809e-26,3.32795366423968e-05,0.00311412002285911,1.97602960636261e-06,8.01324566888871e-05,7.89337807445703e-21,2.79592926354005e-09,0.00495269368821635,4.25125343746685e-39
"X129",1.51259593032998e-08,1.43881192100174e-10,1.11942593810945e-11,5.36886643131877e-09,3.46705528268848e-27,8.45423519466608e-16,1.04996024081136e-11,4.45660783651466e-09,0.0123833933448362,0.000261980652085078,0.107873909936296,0.0203846563519397,5.01459476775161e-14,0.239200398111597,0.00406759049109205,6.24529465637135e-08,0.325874976847242,1.43293097775626e-07,0.00166676841684203,0.00068595384917812,5.91868818352127e-18,2.93439319625686e-08,0.0404029164953492,9.16835501696892e-23,5.14371944321477e-30,1.88350963181479e-12,8.1392113332942e-10,8.22372690450039e-06,0.0113301210500637,7.89333258062321e-18,1.44656386853046e-08,6.13803132432117e-15,1.38272776816485e-11,2.99835907984183e-21,0.000667687558354803,5.29669235713036e-14,0.00880776497494691,5.29638710077581e-06,2.26031103751314e-18,8.8171231122531e-06,0.00272276816389255,0.000487993328267113,2.10469271012641e-15,3.62096289712925e-05,1.92264089840319e-13,0.00136943190119486,4.31449325739794e-18,9.52613340214736e-15,0.00200067074787666,0.000339837610322904,1.34756489502128e-31
"X84",4.78109347338478e-12,4.3178256103262e-06,0.0113187256434855,5.61823705924542e-07,5.74677753362428e-23,0.00230697240280458,0.0182474332994289,5.9299562836913e-15,0.0101149917194285,1.12684280437037e-16,7.4693050928629e-24,0.000124400232677803,4.75431465424264e-19,0.232609201191357,4.20198482116152e-10,3.26976241740137e-10,0.341371270678451,8.71391347890226e-05,0.0202697765035188,4.53985782583525e-12,3.04893002569078e-11,5.65680574992228e-12,0.0382648495602125,3.91081608669131e-11,0.000196820623342902,1.93703648768644e-05,3.36287094726638e-08,0.000172077559779792,3.74791509272543e-09,0.000497062780249096,4.93591982497383e-22,8.59949473028451e-05,0.00392720043045253,7.27613383625892e-30,6.23863008000432e-15,0.000359004474421173,1.14570992796957e-24,4.99465269119754e-05,0.00301986785780265,1.89224055490954e-17,1.05535510577824e-17,4.06758716408925e-14,0.0868630545240072,5.20721887791397e-19,7.00786057848038e-18,1.34470895243439e-08,5.97351042557334e-17,0.00560458806376228,0.0019196030476892,2.50820114428416e-07,7.22593874107745e-14
"X79",1.01860962977154e-08,6.58033091371334e-18,1.58113403745645e-17,6.30913729525413e-12,2.56504088561735e-21,0.00429905372396514,0.0241185673840956,3.32195442005627e-15,9.61339365883566e-28,3.52341227421062e-33,3.69608454537827e-60,2.49221677821023e-22,6.6061848736796e-25,0.126786560039129,4.21247707840136e-15,1.79759961859593e-21,0.338297484629731,3.88801075287547e-28,0.0451798345587427,2.26141452789526e-18,2.30916102527613e-13,1.39280356417937e-10,1.50858761677926e-08,7.17275451558641e-22,0.0155751923621294,0.0015049908243092,3.47765773641308e-19,3.58349320730519e-05,1.45564528018747e-31,2.02593249569681e-13,1.80328674139542e-26,0.00806643371807339,2.40065131631794e-18,4.94658621289637e-15,3.8646606244439e-18,2.61690826963171e-05,6.85542898993112e-32,2.63818007635961e-17,1.75022209844017e-18,1.66063825563919e-51,4.15721818096016e-12,6.30520415802962e-10,0.194061869838565,7.84933517704977e-32,2.1316454850919e-15,2.88824963539927e-14,1.27696951729434e-19,6.39504699723024e-11,0.0108696167060637,1.05004853653118e-07,2.03497314550895e-15
