"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52"
"X140",6.25961710941859e-15,1.10011154483973e-26,1.16870714149435e-20,4.71027288666599e-15,2.89955674163626e-16,0.0977306502033408,0.0279928053014281,0.271175128519907,2.3716837271686e-15,2.21064658537137e-23,7.83672149700453e-18,0.00555242747022246,1.34310084762705e-21,0.0534081396635064,0.00951255741217088,1.83653792119962e-11,0.00573216029000436,0.0170905173828265,5.3940541598922e-14,1.30411036799159e-30,3.85994430377471e-11,7.33000148466097e-23,3.5952120361932e-15,0.0169514343259457,4.33040206864952e-24,1.20785672609229e-14,3.37506023859503e-28,1.38701361073997e-25,5.32904755761377e-26,4.40909872248715e-20,9.02016713066907e-05,2.84846509069779e-54,2.6618081913325e-16,3.49099245347877e-16,2.6818170017851e-14,1.08909523335066e-12,1.56903825847116e-14,1.04658748163238e-18,0.192220445877232,2.51173006986114e-17,1.33332018116439e-15,1.56762980118781e-26,1.53451555062887e-13,4.44699130144484e-23,3.85987557192672e-06,0.242103433606621,1.35795617217257e-17,5.14339280145662e-24,5.93815861301014e-26,1.29398843475249e-10,9.78860072540802e-29,1.04933322097521e-34
"X126",9.68570039320809e-16,5.26111541288157e-16,9.03014082912691e-33,2.49737411516601e-14,6.15842133420261e-23,0.146723809104769,0.0387488114407133,0.330921861454948,8.65922328113317e-23,9.85125646035595e-14,1.57370407976145e-21,7.03897292756635e-15,3.92503459609603e-30,0.0423390207761754,8.95186592995578e-23,4.74103463284162e-13,0.00129940568506938,0.0292281036147795,2.50460394404271e-05,9.8202110283645e-33,1.15374937729568e-12,1.11268070046674e-11,5.68822724898057e-12,1.23284812446868e-29,9.13719136645231e-25,8.11350565615077e-19,9.52149126049295e-23,2.54375833714309e-10,0.0229441702679402,2.1046741266835e-22,2.85964598174005e-17,1.61314567344257e-13,4.74152770754949e-16,1.23967146834228e-21,3.95479601156358e-07,1.8960466124143e-08,1.52770711315786e-11,2.90051780032799e-26,0.0636418234463941,7.73460129175103e-18,4.73436052271682e-16,1.34151417759819e-19,1.02680899305426e-17,1.68948456135839e-10,1.7071200119806e-31,0.24063815618836,1.94631088813934e-21,1.22363749862711e-16,6.37542155738834e-22,2.94172339440007e-12,8.79340465902798e-29,3.18025204811806e-31
"X90",1.63409109884618e-12,7.81511320735866e-10,4.9731960361797e-15,2.6114062967639e-11,1.13954284540456e-14,0.133712969221923,0.0384021524402318,0.370452427680439,3.28464981446563e-21,3.11636975745763e-10,1.69579493071268e-21,0.000305931245594049,7.87413994530376e-29,0.0352005934347114,1.50809422560105e-21,1.40232995443621e-18,5.56112419409862e-25,0.027443887553045,0.00236244996959877,5.22842775430631e-23,5.20215161941981e-22,9.65217116347334e-06,3.56772280625522e-07,7.01496286111105e-31,1.04547689924857e-14,6.7660440939264e-14,1.24918391710844e-25,5.03332263148958e-13,0.0266262228620031,1.19379009080583e-21,1.41960468528609e-08,0.0898228738122953,6.35544877845573e-21,5.22633665186792e-09,0.00354932324544485,6.46385150490795e-05,1.10848796479088e-12,9.65947658499071e-09,0.0130265298489953,1.82598125964181e-05,2.13829183066792e-10,2.05543199451407e-22,6.48730318792758e-26,2.09702127547569e-15,2.75453489060462e-26,0.145333522728885,4.52043571268469e-16,4.75387375678729e-24,1.04478301331681e-07,0.000374956103169566,5.10021448742611e-24,1.75916265797578e-22
"X132",1.97992002152781e-09,2.89946241287666e-22,2.7134919746725e-06,5.51403472980244e-15,7.50938275477899e-06,0.0554697219139537,0.0299098583371093,0.37896408363778,5.55988199907316e-14,5.61817631442997e-18,1.9782605499485e-18,0.0321927839006488,0.0279164021210681,0.0378384302512562,0.000897131733015553,1.55420060765715e-16,7.83228313682524e-22,0.0358929012001146,4.54065697834345e-18,3.63867148867227e-19,1.60271321727551e-21,2.96441191884822e-13,0.00139341212836316,0.0179409493626961,7.53460889033363e-19,2.99461075640029e-07,3.92217378517599e-14,1.30048173976904e-07,9.1077616642087e-13,1.48928039352178e-26,1.66930858999425e-05,0.183567252496237,1.93354334925961e-17,0.000341304895268263,0.000350405561981942,0.00696054311324454,3.2034861367355e-15,0.00454034724156558,6.51744926026166e-06,1.04470372796095e-07,5.03786860953136e-06,2.55823686490764e-08,5.98826365730671e-11,4.60057949794521e-10,2.1543078617988e-11,0.0367713346119164,1.53268705991786e-05,8.93892001645216e-21,3.22779632624302e-08,0.0142103009871487,3.27010307468145e-19,0.00102221620526197
"X173",2.27345069042911e-05,1.08650451638292e-30,0.000611897604141896,0.000362078472164894,0.00817609883440943,2.13814319258407e-08,0.0300587794813922,0.346319904764309,1.99085326287272e-16,1.38922001111164e-19,4.29190483898463e-06,0.0833125574575727,0.115698937172808,0.0299733916242805,0.000336466436540786,2.78826854984065e-12,1.46883947797457e-19,0.0198061388182269,1.15087974726826e-12,3.01488313588592e-18,3.50273912403892e-16,1.76865766392814e-15,8.48508808363995e-22,0.022019216376976,3.74015364352025e-13,6.10321171701539e-09,6.25816742063973e-13,0.000664735514780492,2.62695325492141e-17,6.61708872065106e-12,2.67970849065633e-34,0.159671639357114,9.13156684790459e-17,0.000708447208621733,7.37749999309918e-13,3.16503783575762e-16,3.70636897211034e-23,4.75307270023145e-06,2.63571409503824e-18,1.32047188990849e-07,8.83322505624878e-11,0.0176414726965336,0.000327525688284687,0.00332488911692349,0.0154688355583717,7.67718539940091e-07,7.41906106706073e-15,1.70333459469844e-10,4.56327312550142e-11,4.02401602936689e-13,2.7209600747204e-08,0.00421208372528587
"X137",2.01620346165349e-20,1.77666533904468e-13,0.00223459167445052,0.00772058804356639,8.10481390224339e-05,6.90977122616962e-44,0.0133232732292161,0.288724241458733,9.02720169009967e-15,1.0302868296321e-16,5.49948428802406e-10,0.189633090174006,0.253140398316445,0.00163362173533558,3.1980410819237e-17,4.23143064514125e-14,9.61074673461065e-07,0.00143604834486718,8.37699009183309e-10,7.74867696839545e-06,1.44706107192846e-05,7.66869099696509e-10,3.00162502164753e-22,0.011327422534578,0.000973717885635395,2.69742001462188e-11,7.51643280800505e-15,0.0084311909833897,5.49955719624608e-05,1.10019625418199e-07,1.08967350613972e-18,0.0585873846571642,2.63010387287391e-15,3.745210975912e-11,4.65540633138034e-14,9.70840315857083e-16,2.66533827913102e-25,0.00124261016855168,8.57565393363296e-34,0.000264234774886776,1.47416769974508e-14,0.0321156378176185,0.00126720006132438,3.35875302408974e-17,0.0184278475644041,2.47370972251321e-09,2.95432263218569e-10,7.37297249440825e-09,9.76922378927662e-06,4.35464910585052e-12,0.000130421608057035,1.25961466406878e-12
"X122",2.51543694035688e-26,0.00914129217779103,3.00762604750375e-10,1.2830125004069e-24,1.42202226231172e-09,4.61704501723409e-32,0.00448034946521564,0.199636131464397,4.73986784944831e-13,9.29832269299129e-14,1.09327831335853e-07,0.311726339273486,0.299558521268758,3.17964376964618e-05,7.02251444664254e-09,9.77863578222789e-18,1.20494800824582e-19,1.55909242480651e-09,5.87945675619822e-05,0.0536904974252246,1.19602428840753e-10,1.66904274040055e-17,0.0131691206237481,1.59239418813072e-09,0.00482605129366954,4.14986417348837e-19,1.56603475237479e-11,7.40419399025802e-18,3.94963193707927e-09,3.10275441518219e-13,1.00518068857143e-05,2.77258014895606e-10,0.00453452664278768,7.18349089832857e-27,4.39703521013756e-15,0.0136401843686748,4.36550484282194e-19,0.00202153626633345,1.67508620550487e-18,6.77777808364779e-23,2.28442568076788e-08,2.15925952808826e-06,4.5845897692062e-13,4.23796226813653e-17,0.0120322827181744,4.08535754319372e-14,2.45977318374099e-21,2.12540654122403e-11,9.6883009275516e-16,4.95423145428988e-11,3.91339183352001e-10,3.84479384593781e-24
"X129",7.15989492840183e-19,0.00218982475928621,7.33784942796765e-16,1.14102532165184e-26,4.38730688944418e-26,6.80297379663084e-08,0.00279505027017795,0.151699285624317,1.42051044080203e-08,2.95251223401093e-08,1.7152754644192e-08,0.367407454179111,0.150170857937317,0.0125987325781116,1.36027147066663e-15,7.3979756409636e-15,1.48276399515471e-14,3.47257431240118e-35,7.30927182087197e-07,0.210179294255014,3.32638136966187e-16,0.000747461963795173,0.0289437967564768,1.70798317931806e-13,0.000476721252295481,2.82926548372568e-25,2.18574973109765e-11,5.47745523114294e-22,5.61456344323687e-16,3.09587442979339e-17,2.37183673015283e-09,5.97472889988619e-23,3.19062901095828e-05,1.23882242593479e-22,4.52819963101778e-11,0.00314408462266742,0.00170743311919017,5.65601378314368e-11,7.33425752963013e-12,1.17102814229273e-30,5.93452804510741e-19,1.18382840771797e-25,7.48531884291513e-24,0.00275157756120246,7.35139509579406e-05,1.60698335286993e-31,3.69837618475546e-23,7.74106816330942e-12,1.76784198332908e-30,1.47804743565105e-06,6.30453537271098e-34,4.42820028508969e-18
"X84",4.81858218711236e-12,1.80786873936189e-19,2.19819009699971e-09,3.90609111885719e-09,1.21373239455805e-20,2.89439764471729e-22,0.00537795649428821,0.121444810891438,2.7334978984676e-15,4.63474194160718e-06,3.4911532747631e-14,0.389662074104468,4.05613157058995e-15,0.0329573412381461,7.35537069592473e-26,3.14455880925985e-18,1.11687595928461e-17,1.66544322435965e-31,3.92786107320971e-14,0.303794174773803,3.06880999740631e-21,0.00806897250298099,2.49246120075538e-11,4.59524211257907e-13,1.5585308989459e-17,4.07309064618178e-25,1.31779774765313e-15,6.34836780662822e-13,1.31423489452125e-10,8.23378663398668e-09,2.33690946207772e-05,4.51303964070827e-15,2.4316671468935e-12,4.79992100412276e-17,9.54934817959265e-10,4.02885594762829e-15,2.17885482277204e-12,1.9167828136237e-11,2.57916705144803e-18,0.00301353761301909,4.02092578214691e-13,6.43568126979873e-09,7.37582514911866e-19,5.784857092391e-05,0.000223273973939228,2.35336821029244e-32,0.0070741518641894,0.000284718623639702,1.72621275750648e-16,1.96570706886872e-24,9.3067586638412e-22,0.0530383565169111
"X79",1.47736092914006e-25,2.28982469066206e-34,8.29854635004506e-22,4.91084715567463e-17,1.40108528204363e-07,5.75360021455952e-64,0.00176722741117794,0.0969458934464895,2.0936721983951e-28,3.16328734409728e-24,2.27549509625959e-28,0.379819237393487,3.68217377877952e-27,0.0766313425009987,3.88646544112838e-26,2.44321448278007e-22,4.37080658499786e-23,9.35425148066899e-23,4.08993857786047e-17,0.201577992212396,1.30094935709961e-14,3.71777906291858e-24,5.27341409369973e-40,9.79496349723863e-26,1.34067817011583e-33,1.94022230033454e-26,1.08934077246583e-07,4.63820997486774e-20,3.78770857587116e-10,4.31025506145342e-16,1.21714956662013e-12,2.00665457316795e-29,1.58809965193901e-24,7.9499375094211e-27,8.45641838555203e-27,6.23267082171536e-30,3.15024620524302e-27,1.02721679906973e-31,7.45519672919629e-24,0.00105746387412124,4.02937347086215e-13,1.42488739045136e-13,1.2658506912146e-18,1.87317092264992e-15,2.5427870138532e-14,9.03835560658623e-10,0.00499498874062964,2.60772061004875e-17,6.26580501031791e-20,1.93122408122271e-51,1.05631754247762e-11,0.152139979061719
