"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52","r53"
"X140",6.80331808602119e-12,1.63918972198204e-21,1.82533409949534e-22,4.02981053850478e-49,6.20275492692859e-17,6.95023391550833e-20,6.91290221311675e-08,1.99084250419124e-37,0.00932410170236987,3.10221766417839e-27,6.57857459540418e-18,6.11676820175625e-11,7.22165376452436e-10,1.06417794495957e-33,6.64209146044156e-43,1.62030636857798e-13,3.1707915983114e-16,0.0551112053877282,0.0735717837880433,6.62813452433889e-21,0.0110347823579062,5.70493162448168e-12,2.87107600358273e-24,6.16736790585249e-28,0.00348128351038696,3.43336579841089e-06,9.94642012405449e-22,1.19778877060769e-18,7.36391192406141e-11,0.159091751676298,5.29370211239861e-28,9.50919227490941e-37,7.43093008311293e-26,3.49417794295375e-29,1.61988684137826e-07,6.11190018550713e-20,0.00771443314774936,6.83348314810567e-16,3.30174298262433e-22,0.354021562875978,7.47049269217308e-30,6.41464117591797e-16,1.1125424469071e-15,6.71700797132741e-17,0.00174594007703287,4.57557688743429e-30,9.11640699889086e-29,2.55408696339183e-15,4.1230274981092e-22,0.125397050704425,7.85079232415204e-31,1.05828314775293e-30,0.15038338345572
"X126",1.33702657958438e-27,1.00442698741423e-12,2.19778061851488e-30,0.117478047850446,1.34820451458404e-30,1.70071954686904e-21,1.76412560691664e-14,1.21911697370204e-14,2.70900665545994e-18,7.35680540421615e-32,1.49135788963118e-25,0.000577722227313367,5.68237381683566e-11,9.03547104744828e-39,0.00119602247173953,5.4902046780015e-22,0.00252375911118543,0.0439840138130016,0.0749379424376911,1.2687273845287e-17,2.9662420218681e-08,7.39137341038813e-19,1.66770762115467e-25,3.37640624558617e-17,0.000190181476205324,2.53549875496014e-14,4.56829214847687e-15,4.18775230695631e-24,5.75848373372796e-14,0.201624987861394,3.22765560245303e-35,2.38008459742541e-23,2.49655547977634e-22,1.30513215978961e-25,3.11189576254012e-15,1.15398124411537e-06,5.97705873024004e-16,2.94105465430251e-13,6.39005748035412e-15,0.372692297251081,1.02929147065402e-19,1.34341163376547e-23,1.27426565406468e-14,3.79516396804504e-21,2.32281621363471e-22,1.88526131747749e-11,1.22433307157653e-18,1.78290184869103e-06,1.42235265130354e-24,0.124920065755217,1.74654081613241e-18,6.51693772077516e-28,0.0305822687417681
"X90",7.85375496969688e-21,8.80345249269916e-14,6.83132475433361e-28,0.0796216099395804,1.83253128300334e-39,1.14291030980538e-16,3.65431570213672e-11,0.0124232567727944,0.000653124994170302,4.05887376818858e-41,1.46260157921753e-15,3.00196839155007e-06,2.52985185531168e-12,8.24775002790992e-21,0.104680550212643,1.76616926815221e-18,9.10315670790711e-11,0.0091643573383315,0.0672005615232671,3.92091073354749e-08,2.04745224450326e-09,2.19509479663437e-14,8.02665765023205e-23,6.56634787811942e-16,0.0192096593665753,1.64751786899259e-30,3.13695058805841e-15,6.83526963358225e-17,7.81763461412023e-10,0.248756634273334,9.81219361427384e-23,2.4863998122404e-21,2.91777921480718e-06,1.29932836375792e-21,2.23412359433827e-18,0.00338320957290906,2.20050224981399e-28,4.7226557218676e-09,9.89442289050961e-23,0.28307527060243,2.86081238907874e-11,3.05131955183097e-15,9.8422188877315e-20,1.03262252999248e-09,1.47948166199105e-33,6.84402620591526e-16,2.99183405931642e-19,1.37975766601987e-14,1.2024606729198e-36,0.109519329829032,3.57475263020197e-22,6.04810330206953e-29,1.33055141754645e-28
"X132",1.02607601806138e-18,6.57432770656757e-26,2.84321099857028e-29,0.0349733767953273,1.7836030017737e-50,8.00586896403871e-24,2.12267273946246e-23,0.00531783034952518,0.01396587600226,4.08495180859205e-40,4.14659141325897e-15,0.000337404981560411,9.53142205989052e-15,0.04027095669834,0.187919809100353,3.38027630053741e-30,2.67687870906992e-35,1.642738908353e-21,0.0539417222604125,0.00549565321100359,3.33864383775429e-13,2.72275652131237e-14,1.91839130125261e-14,4.36685605162868e-28,0.0191622228659218,2.09888276482752e-42,1.507594190868e-24,1.00846977792725e-11,2.5813870024711e-10,0.29321939209594,5.55605108091489e-10,3.52063550158067e-23,2.02023598460933e-14,5.95436335857556e-06,2.628032478733e-12,3.03480067131632e-27,2.75709929912222e-28,4.34012675274879e-14,6.00909870438798e-23,0.148483054424614,1.39955496344235e-14,2.87873667697716e-19,1.17311014516413e-14,8.30701499975068e-11,3.36812994123212e-24,1.31994847421832e-12,7.39273108452758e-08,3.14606127693983e-18,9.9405844930588e-42,0.102974357189427,1.3317852273262e-28,5.10863843766919e-20,4.5755269903361e-20
"X173",0.0013911666951207,1.10886078791552e-18,1.19522145458851e-32,0.0287904019315053,3.68566970487897e-49,4.18902942887616e-12,1.6310191654935e-13,0.00503452181310173,0.0105448961931953,1.37651818813884e-24,0.000414742923602064,0.00552948355371979,1.71319552333274e-26,0.143246142348785,0.161419356376473,4.57660592465661e-12,8.84285362103492e-28,2.14658660330792e-25,0.058166054787892,8.58981415089258e-07,3.1765907474533e-10,0.00101306133333581,4.82541157624615e-06,1.38105341600255e-10,0.00474372659996387,4.24298785874854e-33,4.74505948326415e-20,4.49145735828939e-08,4.24888842733409e-11,0.325617517638539,2.08488389126622e-13,1.0329070651343e-09,2.18048015946253e-19,0.000149397612312834,2.15478932711985e-19,2.23176013284839e-16,4.32086441385096e-15,3.30397419218421e-06,2.21329913953231e-12,0.0518431159709349,1.33048742786604e-05,1.42436830789036e-29,2.24650538749494e-07,1.45111495876427e-09,3.1578950269932e-12,0.000249386256477117,0.015502062996545,6.44782437802749e-09,9.10630489876888e-32,0.0830070667718701,1.14268511045882e-22,1.50700310758258e-13,7.03293378790708e-22
"X137",0.00284863931605327,1.76610579218167e-07,1.2378174031079e-18,0.0233831666592913,0.0422561533414157,0.00207783239396395,0.0024829576886802,1.20623672600241e-07,0.00151381213686861,9.13732212519257e-05,0.00798633424852602,5.2031476006033e-05,1.96155575673633e-12,0.269560211946173,0.0596199047076761,0.00272360767501158,2.86514608036033e-05,1.15180934427361e-07,0.0636441210007116,6.35230653465775e-10,3.92555987971543e-20,0.00106777571173681,4.0788856251966e-08,6.55879756749654e-11,1.49434378239204e-11,0.00521335440326411,5.42457910048516e-15,1.52633782991783e-10,0.00112741005555388,0.341511644958483,3.84107058537235e-12,9.33983266360634e-08,4.57480257346272e-10,1.94018255918818e-12,3.79109781805014e-09,5.84099231619465e-07,2.3471593404539e-12,0.00376516235315113,8.39657567191691e-05,1.27425564157881e-25,2.3353262187731e-07,6.83497144180746e-17,2.75324362265191e-07,8.66520067325128e-08,0.0190140995868103,0.00455880768951081,0.000683029259392694,0.00135629860108976,4.57326754861017e-12,0.0488548286694771,0.00286361181301739,8.72939964248346e-10,4.22316225762285e-18
"X122",0.00592614917357438,2.15298394220329e-08,0.000133704666531404,2.16305194110694e-11,0.208196558891019,8.89289792669392e-08,6.81917993089906e-05,1.06686519423452e-29,0.00529970069400936,9.76783579816701e-05,4.56456436355373e-18,1.42283183476088e-21,0.00639978474584714,0.256487049943181,3.96631659380817e-10,1.35873548802037e-10,0.00156042365992829,0.00487767506514623,0.0878204153089464,5.90529303849402e-05,2.68609176510374e-13,0.00131057890244788,9.25762638067988e-19,4.19370897709747e-06,0.00311597081654225,1.34637706649461e-13,5.28496874440567e-18,1.0655654282982e-23,0.00125778324385099,0.308490625956178,0.00520130117993591,3.98399483558182e-29,2.01817349017e-11,2.78660720781554e-35,1.34960486684086e-21,1.86228923982198e-06,3.17398378090967e-08,8.84320115864825e-11,3.09086981210554e-16,3.15312525621038e-25,3.69606400850848e-31,3.67165575093836e-08,1.64512244086964e-21,3.4697679310172e-14,0.0660486380535356,1.85118234864646e-29,1.17398620956467e-38,7.00032858752739e-12,0.00108447300969964,0.00889222687370235,3.18635868480367e-24,9.28865295820187e-07,5.77853935924763e-13
"X129",1.47348101443328e-33,8.72379440060809e-06,0.0592292899292418,3.84400276832327e-19,0.365789938609175,1.22146679594298e-22,3.50822128808251e-18,2.50819860310579e-12,1.01475908260714e-08,3.1700399946136e-09,1.66880192898961e-28,7.74001146780771e-22,5.32912405375598e-05,0.103826334428611,1.2079179325404e-23,4.25008214273154e-10,7.66356593856677e-13,5.61613152698675e-09,0.0908822512696818,1.08493835158745e-27,0.00573285504460389,2.13896755427222e-06,3.49146261641918e-24,1.8813866648295e-15,0.00179287340885144,6.59231833950446e-17,8.00998089513694e-35,1.29824405286892e-34,5.24257691899455e-31,0.292089646284719,1.48613723146843e-09,1.83633270258342e-37,3.92772021547428e-12,1.39723069561321e-35,5.47706375486047e-22,4.35328351623607e-11,7.40730175307509e-07,1.2791591171684e-34,5.85551515861118e-27,0.000803051226870051,6.13358028139448e-31,0.000114870773072776,4.98493227871368e-33,5.620680935541e-37,0.0892596626796822,1.261829805096e-43,8.170332119162e-61,2.88649110215203e-22,0.000615817523700129,4.250044105297e-22,1.68066561227554e-23,0.0186030947562399,3.54669881660407e-21
"X84",0,5.27978672347274e-09,0.0683648969504425,5.50940153301382e-30,0.352743361790042,1.26730023827037e-21,0.0104833688650347,0.000554493713704723,7.78495402982189e-26,0.00425685937548743,3.42730455299154e-09,6.80929961499992e-19,1.92964632281726e-27,1.87475786446816e-47,8.86845504398681e-26,0.00153811152904608,7.84966211219054e-13,1.55470230579658e-22,0.0899767316934978,1.9204484053781e-36,2.96112481116256e-07,1.55823267663048e-09,1.30035924807932e-25,8.18218039361366e-21,2.19786010209314e-16,5.06341997137474e-16,4.05034497134776e-20,4.94596463508591e-25,1.7290943407484e-40,0.28022293239349,2.84684272894218e-18,4.0211145510491e-24,2.01058790982113e-19,1.32160607622077e-23,1.37621001538972e-05,4.43634949023631e-08,3.47077876547638e-05,1.31351164854859e-22,9.61146779881354e-13,9.21239341333065e-15,2.93425978833114e-13,0.000166612628262873,1.51133328509276e-30,1.18131460428792e-28,0.0637427825514242,8.03877855898392e-22,2.61589605473265e-52,1.72998207757583e-16,0.000183196740272105,1.51941760772285e-18,3.2376067348713e-10,0.129641602025011,2.49482629902442e-32
"X79",8.91853499162626e-14,1.67024764041037e-09,0.0101547763140799,4.44021036350087e-28,0.212898874848415,3.20072509523734e-17,0.0400719904228999,5.33657850058588e-12,3.60706347459594e-17,0.000296263249656948,2.16362512639771e-12,2.26439700177346e-08,1.01853391898576e-18,1.37533224693383e-44,2.60697379205638e-19,0.000259334518959239,0.00126933483496378,0.00710738399045603,0.0947321229557873,5.21066631007062e-22,0.0438685611678344,3.96677856858769e-08,6.28003631837443e-14,2.57224782618441e-09,4.02790424322806e-22,2.29089253845955e-17,7.85194285201315e-17,1.22987229026662e-19,5.42783400679265e-26,0.250463376302956,5.97417660464089e-11,1.14485923496547e-28,2.67525228236021e-11,1.35555609044352e-27,6.98060905950253e-07,6.4183310313e-10,2.70581786003749e-05,1.73429749736012e-15,1.93499055294886e-06,1.19353355453362e-34,6.04897354852907e-18,1.54131966931651e-14,2.16061944255183e-13,1.32237165300653e-16,0.0261890146930157,1.19948595838508e-07,1.21428948571825e-38,0.000563759832043627,1.86186347880633e-18,0.0155561051580905,4.36425284852763e-07,0.248015601343784,1.05282044942499e-27
