"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52","r53","r54"
"X140",0.000384366198640947,3.28904424135166e-26,7.60760938756878e-50,2.62597978906285e-32,1.73473244270055e-40,1.44552005591731e-39,1.11433499898984e-15,1.00542509270092e-18,0.0991227336640697,1.07166529222297e-36,3.51986880876338e-32,1.97507096550978e-10,1.5552583122088e-36,9.11375444857678e-21,2.36716462089774e-31,1.23934142261815e-06,4.58312896266199e-22,0.0604789504952221,2.15973483115285e-54,2.35781574545135e-32,0.000106288862757452,9.53546058359651e-31,5.68272330279307e-53,0.0263944282730328,3.0762159657081e-08,3.48319480364082e-21,3.56366117971222e-37,1.46187076625888e-29,5.46998286947493e-23,2.75384073619576e-26,5.55861714614587e-08,1.72596034888946e-25,2.14053577405957e-60,2.34294670888557e-39,2.12913562531906e-51,2.21165486018485e-40,5.54662122303272e-31,5.94774218427049e-46,2.19163488978543e-12,2.75267764124549e-42,0.0500472116419355,2.89586732553534e-13,1.50712999652877e-32,0.130509759314651,7.34144371905876e-24,0.149926546011909,1.24830975966348e-39,2.98743633017158e-29,3.03117116224714e-19,0.348137951476659,1.45534252713544e-48,2.46795185151315e-43,1.31508042564755e-29,0.170404353851714
"X126",2.39963890867937e-26,2.16320668613227e-24,1.25798640297356e-31,1.52791233884199e-31,0.0666730873402881,2.9165679601855e-36,2.74425445869607e-23,1.97727741345672e-09,0.0930231131192294,5.68976918632206e-33,3.2687834261469e-31,0.000864833129570033,1.2076448590295e-15,6.44251288389e-15,6.53373697157359e-14,4.46051540729466e-16,4.65032974093103e-26,0.0861509822266228,8.31776508571423e-55,2.65561478248602e-30,3.09701805136261e-19,3.57829803766647e-20,2.03958997237803e-31,0.00385948446846118,1.30073155643793e-08,5.78522633426259e-06,1.89195378299986e-41,4.17807321434376e-26,8.00824716789892e-30,6.56688503475457e-28,2.88277656620503e-25,2.60151246640839e-30,1.47808075494392e-38,5.1420655124298e-26,1.58884138815651e-32,1.40275245368132e-22,5.92853368350196e-19,1.58359729031335e-39,7.38802604014206e-13,1.92790497618239e-30,0.0466830639052817,6.72617368498589e-21,7.50111224661642e-31,0.152456682901112,2.93666574663895e-19,0.164905072537632,1.3427153664343e-35,5.39356514660868e-15,7.04916668843174e-20,0.38873300342533,1.755301066764e-33,4.61911502505817e-32,2.18255906366857e-26,0.0398383756992966
"X90",4.23456851868588e-20,1.82210986855537e-11,3.52102720151121e-10,5.70385151673699e-29,0.0340455267348358,6.17227477264253e-28,7.09125294908421e-18,0.013604923902836,0.0782166121366463,7.48536095936168e-17,2.0107502696974e-19,0.00107240338283044,3.54902501441001e-15,9.95682197810653e-18,0.00585794426523197,6.27912284124696e-22,3.09697611941488e-19,0.0959124848088974,3.07172054588096e-25,1.64961219340074e-17,2.77759741874929e-18,0.00154541833505233,5.9304805482213e-07,6.14809232194064e-14,3.82965222718169e-09,0.000264779066608774,1.33146164718146e-27,1.4293158322915e-13,3.47677681520099e-10,1.54031480060478e-15,3.6820331437565e-24,9.9138334211444e-08,6.06169728569844e-17,5.89111598482861e-09,2.25664253813263e-11,5.9676886431736e-15,3.33033119040169e-17,0.116172657472329,2.13941602552101e-18,0.0072971027203287,0.00624950965127329,1.80068522917026e-12,2.23865710654509e-11,0.124844962813616,0.000728803154942536,0.185990753092182,4.21522178957097e-39,2.49875523490823e-08,1.48454036796401e-13,0.318838379526933,0.00106140060848333,1.87690353439769e-18,9.53041823378685e-19,2.19710655354799e-17
"X132",1.90925008783152e-05,1.05925064532256e-08,6.46707154157417e-26,1.08923475860694e-31,1.38016218696372e-05,2.52959516466879e-32,2.15386548734458e-18,6.50254155395596e-13,0.0584226823212676,1.06755539989107e-10,6.07416407975763e-10,0.00394338643786534,5.276922892737e-36,2.52141661901228e-14,9.26000966465087e-14,1.11618787018564e-33,1.43364146566148e-24,0.0889608174090928,5.42972206013042e-11,3.82710206579086e-13,1.24865990790562e-05,0.0157888107289175,0.00185631908968379,3.3888199837132e-13,3.4122237723076e-11,0.00529642609051175,5.65156897688303e-31,5.99840679342524e-19,1.86980288869992e-07,4.85032502872549e-13,1.07661006431325e-18,4.07522901571048e-08,2.65554136577439e-21,8.0646450228717e-13,1.00736608969081e-20,4.68528143527923e-26,1.75147543851388e-21,0.263033386391209,5.85468773003071e-24,0.00721573863524246,0.00283077381860357,1.95426341911746e-16,8.95676355867068e-09,0.0686346939058369,1.86384134961297e-05,0.209158619366547,7.7677318292317e-38,6.30724191636295e-08,3.87173529891307e-22,0.201744879710058,1.34366406573693e-25,2.63005999986495e-18,1.29344257600285e-14,2.43339534016618e-12
"X173",0.00269209824691416,1.49792440235319e-06,2.36034424544914e-11,5.17886819170687e-19,1.09760981016868e-16,8.31604876638145e-08,0.00124435325266259,7.38696778465613e-13,0.0190833332417539,5.58679070225206e-16,7.08073345439489e-06,0.0029395742305658,2.63761265345198e-09,5.2570594401017e-08,7.2416905681644e-17,4.48814691800363e-13,6.73577112757721e-14,0.0753596168259503,4.04624766934564e-18,0.000257261440737087,0.011481537356471,0.00872794451522361,2.13705203048594e-19,0.00594680037736018,0.00166545872964074,0.0118445903632588,0.0355539804687456,2.05789331030232e-07,3.6493153932576e-14,1.08622507657824e-14,1.93604816422239e-20,0.00499977584348257,3.61622363705227e-11,3.37450883471408e-09,1.02593212026679e-28,1.43733427238117e-18,5.2946497002774e-13,0.304784424782839,1.07874644285408e-12,0.000222607269634647,3.10729768697708e-06,7.82668881140111e-17,5.01016182053911e-12,0.0188303878925709,1.3589660161483e-07,0.231857517823168,0.0270853061771054,2.035056747376e-06,3.10542506759204e-17,0.110985279845114,6.70088188913349e-45,2.21626921644594e-08,0.00139894524071974,1.2967172622014e-30
"X137",1.63673857498867e-24,5.19051642218346e-18,5.68213909990719e-16,7.94229749627922e-28,9.38061676516304e-44,1.10981173548266e-09,1.66894813716612e-06,0.00488908588687587,3.5714987707175e-11,9.84716550296032e-16,3.79367170521371e-05,0.00917417938353038,5.76375043611813e-05,1.77686957793864e-09,0.000803486961823932,1.87597581931453e-12,1.74977314882413e-12,0.0487260136260867,3.48896237736489e-36,6.50839101518133e-11,0.00789899871008461,1.74504797585654e-21,9.88179012754101e-53,0.0140503780845049,9.20551416922472e-06,1.45537826767887e-07,0.165404890594304,2.41948644653203e-11,6.11191342164284e-19,6.35248498101453e-20,9.76013887070964e-16,0.0067990931794908,1.64148316740971e-18,3.16449978266996e-17,7.34294550946556e-38,1.84312487492513e-15,1.47515418709192e-07,0.219458142792079,2.12342640283862e-15,1.44839435498127e-14,1.72646635346784e-27,5.6748532184599e-15,2.62301457009692e-22,4.36100361363603e-07,3.15775349744938e-07,0.256144846725923,0.0669025261434164,1.15742733279061e-14,1.79764074838533e-13,0.0420821458104981,6.22928755265553e-28,2.19842787849689e-21,4.61806431196505e-10,7.77868869570833e-46
"X122",9.29028615745213e-28,0.000219111952147418,5.01351466511977e-25,2.53943157882056e-28,1.35263349289717e-30,5.46420772720901e-06,0.00122179353613445,0.0286605915944023,4.02473239547121e-19,5.59851017583508e-14,0.00889820020245091,0.0134183487688151,3.96455957190547e-11,6.10562369804948e-20,4.85297449073518e-11,4.83291805208208e-05,1.52848821895001e-10,0.0396489700561485,1.15968937679169e-24,0.00140045121823749,0.00908321337083055,1.18468648599665e-27,8.97456385181096e-19,2.9482069593013e-12,1.3263580584328e-19,2.85912839551888e-18,0.315107764771912,3.40893962655335e-34,1.41046867495942e-23,2.23447032646736e-25,3.55777974402916e-06,5.32616285700947e-15,1.27003323316696e-33,4.49336907529237e-35,3.86571163306013e-19,6.56248199926189e-14,2.20263028864699e-11,0.0892397512909464,2.70528116129293e-16,2.83323980971197e-19,3.8442647176377e-35,9.26455980271222e-13,5.49120034457197e-29,1.64775746598638e-31,1.59736645802017e-05,0.264027187244724,0.0343818594664388,2.44838397402817e-25,1.06626522899059e-10,0.0217330396027117,0.0166844275362029,1.00361639323808e-27,1.19002456184107e-17,1.79489638193374e-14
"X129",6.76885840519445e-23,0.0120007216683407,8.10471094990498e-10,1.65328254149083e-27,1.09000530861924e-05,5.45051226735097e-14,8.17671352243146e-30,0.0401462881540005,0.0215055628470897,2.60025134843377e-16,1.5147313977407e-09,0.00504184316418137,8.7889894485145e-24,1.12303719211147e-26,2.02632764679238e-11,3.50910360627624e-07,7.49259721347212e-08,0.0396631865325411,0.0147664640976225,0.132130952040731,2.09659073591041e-13,2.93983808490763e-08,1.69775328983651e-12,2.21834339961274e-20,3.69840251046154e-14,2.11149750464287e-16,0.297377178139242,5.95421847085393e-16,2.80659445453645e-22,3.52448339079459e-12,0.00644101156426582,1.69767769354916e-16,9.45331215019905e-29,7.89779474581055e-15,8.53874969033433e-19,1.08803323525864e-12,1.3684097367321e-15,0.00462399502734409,4.35568058169896e-24,3.60012601286375e-10,4.12606462792031e-33,4.16205999110725e-06,2.52568590998163e-12,4.12037336127136e-45,1.46339068641584e-32,0.261984673436194,1.88312180738208e-22,6.2354875280647e-34,4.7186117981189e-08,0.0233914121631475,7.64880783897844e-10,1.17478512235545e-29,5.43613594802798e-15,2.26301555328375e-06
"X84",2.76723419728236e-14,2.22412868308607e-08,0.00931176455817705,5.07192554490556e-13,6.94139356865021e-05,3.51182967659805e-23,1.60593145407724e-39,0.0406060137307248,0.0285268991314715,8.60961435217857e-09,1.47178425473868e-11,5.60699379355862e-06,9.49102668665956e-17,3.3425033678512e-17,1.86653971398172e-14,1.14348590952176e-06,9.94649862511763e-11,0.038680824583914,1.08848448390519e-07,0.315974845485736,3.1377154009923e-14,2.41154330575528e-14,1.97778420990415e-12,7.38948418045436e-27,2.60762764005443e-13,6.89844894199232e-18,0.128452980888326,0.000650712837705338,3.18217293222365e-19,0.00597916900274868,0.0103260439325099,5.95617734327723e-12,2.0708662012527e-17,0.00348918800167731,0.000201591495590731,6.05509348594214e-06,1.59175397680874e-15,1.73646215321391e-06,5.16984466274884e-15,0.0021391232112459,9.16754074108357e-37,1.2146160861998e-05,0.000727587220939625,6.91686346589179e-33,9.78366772496102e-29,0.263300322805465,7.32143403958696e-16,1.97737201500021e-20,2.88633393255145e-07,0.012785971836281,8.82677645583433e-13,1.74764670451708e-24,1.4161947817622e-13,1.50470121139278e-14
"X79",0.00772024657349576,2.26592376915598e-15,8.71543615069653e-08,4.64320396783119e-06,0.000359709130955817,3.32446412715423e-09,4.56906214132143e-06,0.0156628864844381,0.00517464753229308,1.37529854547064e-22,0.0344230394234773,2.51656561022331e-18,7.40589423226957e-06,9.53478592307191e-14,9.12452185912284e-15,2.25632532460619e-12,3.775482862121e-13,0.0322062717417471,7.51882180515306e-13,0.35842067159039,1.63076914629933e-09,6.28227050436672e-09,0.0378252310511772,2.71938146046135e-12,1.18053720232564e-15,2.61866834050881e-05,8.14651807197093e-08,6.03001770759964e-12,1.94397356649703e-15,1.31362306382926e-07,2.24856569949604e-05,1.24720940717676e-25,0.000666217245179227,3.81828206025595e-21,0.0189756308156633,0.00453067324463567,0.00335061397775408,0.00815637611358526,0.00599963536514583,1.13787039219588e-10,9.14955128120623e-16,6.45874430806687e-14,1.49360555373987e-05,4.95666782347571e-17,9.00955648920293e-05,0.283765186985609,0.0156267686809244,7.90984162835673e-14,1.90567440830546e-09,0.000197823784022,2.05845730327219e-13,0.0374798501226821,4.51573829969847e-10,3.08271688262683e-05
"X79.1",0.0235133583116095,3.95135635438138e-16,6.14965798000239e-25,1.40631273175e-23,0.0046070767011451,1.4752096872251e-17,3.95135915394694e-12,5.44070809948746e-08,0.00744470003728342,1.20251637050846e-31,0.0928960617223724,1.32712371974094e-18,3.76828975369442e-12,3.41219016263849e-17,6.92942534902438e-21,2.94041757305676e-33,1.62406026013069e-16,0.0305834363015824,7.28736003978858e-05,0.234563787455908,1.12861835286243e-22,2.86956160668789e-08,0.127063730219881,4.134490878917e-24,5.71667086221139e-24,6.84795532805825e-16,5.58510210093264e-33,2.5204700596831e-28,9.2703138467159e-21,9.20167700493082e-31,3.70477004651619e-30,1.17624867352238e-36,1.04521168391694e-16,2.24177470292509e-34,0.00405441225806538,1.69024398492036e-22,6.7813649484084e-21,3.06619914829104e-08,7.7155253606254e-20,8.10933489791317e-17,2.67654701280108e-11,1.27975499157342e-15,7.09251134826552e-37,0.0172786951640943,3.30320229589136e-20,0.290272232678265,1.45951764483157e-14,3.12093004712621e-17,3.33353426204389e-27,5.18187021598673e-23,0.000634971332198144,0.0977532546485988,8.94109438731096e-27,2.94648631326606e-06
"X97",0.0864148977965509,8.06489720017301e-22,4.0965184847446e-15,1.29818878658221e-33,3.72416518395799e-07,6.55392800331331e-22,1.18779753514191e-15,1.42874489633225e-38,0.0351648587813679,2.14599038744634e-28,0.0659505276036991,2.92906777188808e-53,2.50945728365518e-12,6.7764323415354e-23,8.22098042542464e-26,2.60630386529943e-42,1.17660732368998e-26,0.0181292127719208,0.00934470109934218,0.083176075900282,9.56840890128572e-28,4.61508921993896e-22,0.228705704052777,6.17054391533384e-29,2.53744199192381e-26,7.23933760995783e-20,6.28320549117011e-30,3.52714922784805e-29,3.38977961511278e-31,1.99342315249748e-50,1.08285491931125e-24,3.33062178236361e-34,6.09482819186583e-29,6.52781334625893e-43,7.23170017448901e-28,1.32187827625888e-28,4.45721801802144e-27,1.13186727690046e-13,2.16555676811305e-23,4.1829456285157e-29,3.79844330234122e-12,8.60785668445193e-32,8.35644040472019e-32,0.0375807510626564,1.51099536878556e-36,0.282064128424846,3.91922125891138e-32,6.50291660284324e-10,3.5660473536588e-37,1.79021886056936e-36,3.81613064079577e-15,0.147767599248536,9.88044295193063e-26,0.00268991964770734
"X123",0.189715654599935,4.88016616814803e-14,9.34358944966607e-19,2.40848835884167e-21,0.00249419669962027,2.31937801247592e-24,0.000454144641632929,9.57253554856505e-26,0.0597544599407452,1.38245519565752e-19,0.00346649142153579,3.49502000354992e-36,0.00250364372784203,6.58084712931331e-21,3.13281222692413e-17,1.77724788880687e-29,1.33523317856961e-23,0.0245028615922162,0.00972163060516953,4.39137299590966e-14,1.9965657382479e-22,3.22288544099838e-30,0.26846780696141,1.06870994378666e-11,5.91118430202811e-22,1.76775394557545e-09,1.49099484327616e-13,5.67852776708234e-23,7.14132481435772e-29,8.0365028659997e-31,3.84232755957366e-16,1.01543822024737e-11,6.40739924190939e-26,4.53080023721106e-29,6.66846137212626e-16,2.31549828609223e-21,2.50086531395129e-23,2.13031927420044e-16,1.38885865188229e-13,1.05696614056631e-18,4.71804224362087e-09,8.89053921392691e-23,0.0218313519667284,0.0479539158540282,9.34901115385059e-27,0.25325203109906,2.9176281866479e-18,1.99723292694853e-10,7.04510247465112e-34,1.4476229434017e-25,3.19315836332323e-32,0.130767673428691,3.85728941304855e-18,1.11141322254143e-05
"X63",0.298918454311274,6.58396124638547e-10,3.46166709275004e-11,3.52821769841443e-08,0.0639658976505085,8.39646925184197e-16,4.86167700231724e-08,0.0113906341717333,0.0535202845253112,0.000210663953673199,5.15691191849411e-31,4.00353413766907e-15,3.40220899636896e-06,9.33882117814931e-10,4.40285098606064e-08,2.5387509793343e-10,2.15705151771128e-14,0.0406157097698472,0.000946477416030104,9.60492866697793e-33,2.73460394088571e-17,3.87599487388654e-19,0.159949852240949,5.63739622535421e-06,0.000189133857680765,0.00289506266049389,2.60547031901391e-17,2.17184743146197e-07,5.00382776623389e-06,4.30108665214743e-06,1.72335593398047e-16,2.31493480781649e-07,8.31895732664e-20,3.29922255490335e-07,9.96078233593885e-12,6.01395442714101e-21,4.59633645574053e-18,6.10586039102748e-14,1.4874872326803e-16,1.23419425378771e-13,0.00020772908838326,3.60075601723903e-15,0.0193082040717992,0.0288599368427687,2.55782721633297e-07,0.222516548823584,4.76297778834303e-17,5.92310357226758e-13,1.23966030999984e-05,1.57894612197391e-16,1.50823624263826e-11,0.0762117337012004,2.17846039503636e-09,5.14131554435042e-25
"X111",0.393671400269556,0.000894596954573863,2.42375283191434e-12,4.76707609385343e-10,0.117550303602666,1.65748505119807e-08,9.08028388230814e-18,6.69235456248778e-09,0.038936156815652,0.00623200997609449,6.37418185703913e-32,1.94291608355356e-18,5.45804212527801e-25,9.73903333425141e-12,1.22324161464142e-19,0.000425047548343497,7.00503689456693e-12,0.0397841076188799,1.75028768841762e-06,6.93992505122441e-14,5.58950966585011e-21,1.38244839989906e-20,0.026771932950165,2.05061849728302e-10,0.0319379617831333,0.0117732114762637,1.83008180393189e-27,5.89490081356269e-09,2.8812996634221e-15,4.0710584848383e-09,2.04995625979058e-23,7.47959400332476e-09,9.8413708936673e-25,3.93382604193216e-10,1.5101712635695e-15,3.83953071635691e-20,4.94642064157739e-10,4.04481327270339e-20,5.31385723959946e-23,5.41591386394497e-19,0.0192029806221173,1.57474316211805e-17,8.25596981183832e-19,1.82728706057663e-26,8.64322245467967e-16,0.19596503280963,3.17702888933781e-24,1.01792015534758e-08,0.00901601890227471,1.22625533056899e-07,7.14815079620927e-07,0.0162643260228035,7.38569594827557e-06,0.0175136686373972
"X127",0.367196052791301,3.94602707645764e-22,3.02571969265583e-19,3.85333168643942e-15,1.88810590187513e-12,2.43497705215672e-17,6.68689520068744e-28,5.6850604945354e-17,0.0379267022196711,4.03684632481781e-10,1.40963017265875e-27,0.00965053080968442,2.77620719584457e-32,3.4288039760421e-16,1.38239593486894e-20,0.0191830310353211,1.07813369544084e-12,0.0494367572429397,4.8378300859952e-29,1.92319520352949e-08,4.2230668572412e-18,1.21604298841974e-13,0.00413873887997331,7.00663836245046e-15,0.0904910208812809,3.29543809601343e-05,1.23561716059717e-21,1.46672565993836e-10,5.03907049908321e-20,1.92052800607592e-11,7.21879592183582e-18,2.41700659687031e-31,6.16074244198951e-38,9.41209599610998e-16,5.01027982824607e-19,1.63697435826764e-15,1.85341270309055e-19,7.17695508975368e-29,7.70431239567798e-22,3.82186735212139e-31,0.00415215868254335,1.00654613498395e-07,1.01317904862036e-14,7.99448048794545e-34,2.75304292463008e-15,0.163826932497779,2.70696492164932e-32,5.11442415842231e-19,7.23773560823108e-08,0.0226516275416555,7.49093745998974e-12,1.42838655132633e-24,5.18297734148462e-18,0.146537544293851
"X139",0.000147322423281398,1.75597765181405e-25,2.41412729509999e-28,7.61836491173338e-14,2.57559112946373e-06,2.11174614414334e-23,3.90792155286055e-24,9.4788534033109e-22,0.091655303672605,2.87715703156901e-23,7.91714210444192e-25,1.57400022362526e-28,1.97879923801628e-12,4.00142946351346e-27,7.54022380634097e-41,0.00901237912657855,6.42506304426441e-16,2.94185572296207e-31,7.2836704666392e-18,3.30316330116691e-25,0.011204397841119,3.85563005107406e-32,2.03606529617682e-34,0.0478761148983594,9.93360853876242e-23,5.33381868937243e-24,3.35330014098913e-13,2.4199227830521e-15,1.1456465648932e-18,8.50219761014722e-16,0.000388042717288092,2.39453526629895e-18,6.9270008096591e-48,9.21463889015248e-30,0.0367270974527856,5.72603429822562e-27,3.80097621623513e-27,1.67436603455018e-36,5.04147153461824e-15,1.19828025771258e-37,0.0416143125000199,1.02767028625723e-12,4.09760894451135e-17,0.227017544279057,4.42109661868402e-26,0.0469212232192476,2.28295218204148e-12,7.97835709199157e-20,2.06719465311448e-28,0.345047182080861,1.00866860376551e-41,4.04703667401528e-26,2.66361368372246e-09,0.195418679833733
