"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52","r53","r54","r55"
"X140",2.74995106933777e-14,7.44099972042357e-11,0.166193830342143,1.76091182635462e-14,8.67135466895765e-35,1.76138543753987e-19,0.224920097788292,0.00254832805754165,2.09118267286368e-42,1.12546097790892e-29,9.32356570672194e-07,6.57863308769662e-06,1.31511924596067e-10,4.24477880652046e-17,1.07803607941977e-12,6.33882725011532e-17,1.7954011072955e-14,3.9661630778513e-21,1.74175416236507e-05,1.69690300820673e-06,0.369956978506483,0.00828508663855651,1.20456386278543e-13,0.0278113876015567,0.0747771305175399,3.7172058147885e-26,5.82821541184243e-16,1.36724486477504e-24,1.48448381316437e-05,1.36766893206518e-20,4.63555898110728e-15,2.58657748674015e-09,1.24589975098166e-16,0.0109029091930657,0.00377323223345451,7.6035881855781e-19,2.02948758311277e-24,9.8016233366116e-06,3.35738806444523e-24,1.07172979987558e-11,1.63098134251408e-07,2.40883988137093e-22,0.00760039684920646,5.06637328307441e-10,7.21730518793472e-38,1.90913476924663e-21,1.42808116368923e-24,2.86737295168314e-23,4.28879289720594e-26,1.25831578767117e-16,1.65083025446949e-32,0.15859043498641,0.00487281424738086,3.2927960266577e-27,1.5269494289971e-31
"X126",1.1109900837925e-07,0.00911413429965629,0.0322393428261067,7.84716280050868e-16,3.30147782237941e-14,9.81844146874439e-23,0.284792812924529,0.00783162931227623,7.77152898899911e-49,5.19884404550999e-23,0.00334598991115118,0.00663834705689809,2.77226381342515e-16,2.7472791203528e-21,3.9119868131603e-15,2.38082680800217e-22,7.16632506359792e-15,2.94610549338294e-08,2.62316125383439e-05,5.59097611974495e-08,0.354209802962408,0.00533768752117296,8.80053481723776e-14,0.111488398376209,0.0282943257804464,1.44205713797706e-06,3.55401778323921e-13,1.4646264205918e-11,6.83501040493204e-12,7.41108930771046e-24,3.64119969962281e-18,1.64748519752137e-15,8.13563893532652e-12,1.51791435102608e-05,0.000882440125137294,2.34988737164328e-17,4.86074203164459e-28,5.27917234390451e-05,3.72707916310898e-10,2.50856618115311e-08,9.30951559515921e-15,3.27086958034254e-33,0.00427197188553438,0.00575292706997878,1.74044028921018e-40,1.55658565021569e-20,1.49315620450071e-13,2.95321661717203e-17,2.25929095783378e-18,0.000289675825237986,0.0237512180384734,0.180813264551565,2.16692407789815e-18,5.94877681544409e-14,5.47861821234607e-23
"X90",0.00632101379140316,1.47545413626925e-09,6.70923895881284e-24,2.00130691356933e-08,9.89235841278114e-06,1.72754332239651e-12,0.351170458038681,0.0649981683395972,1.38917065179089e-12,7.69648908213371e-21,0.00516327543223361,0.000149137526774237,1.54526702533857e-08,1.22282610734865e-17,4.4696528175709e-24,5.67663516829277e-20,2.46808024951731e-21,2.9839347218114e-11,4.36352118720625e-12,0.0121227209248283,0.235010291667411,6.46521139718927e-15,2.06576045334715e-08,0.125136738705701,4.00394034912337e-17,1.43181531079839e-12,0.0205834853104987,9.15316816257147e-08,1.1960260986383e-21,2.24810597827182e-16,0.0114504182897251,1.01167139792424e-17,3.19679086310228e-12,6.70003771689563e-05,8.24616009604259e-07,2.88012458685236e-07,1.62230506437875e-13,8.64593549962498e-19,0.000548649819373348,5.97133500152692e-13,3.05621690108974e-07,5.82462115088736e-22,0.0159743865149445,0.00775518914231972,6.50063800622036e-30,0.00557687336379277,4.13157853457681e-13,2.37635412905554e-22,4.54361124936861e-23,0.00463602720889012,0.000376392979688245,0.19693623586159,1.71266046206777e-12,3.18834690671707e-26,1.17548054565116e-18
"X132",1.3194045682276e-07,1.61303306838251e-13,5.41578012353482e-21,2.89393757779601e-17,0.000155968687404271,5.95769101516639e-24,0.369364955308113,0.186624549490526,0.0230265756120003,2.01638766123575e-21,0.0109951079073753,3.44828659756024e-05,0.0103042583428759,1.505198012318e-17,6.01766144321561e-20,3.8513621456848e-37,1.30462672462586e-17,0.000428513847670299,7.99267491804864e-08,7.67177689731299e-05,0.103360741677154,0.00697616088911316,4.45928852142049e-18,0.0652004027887705,1.25833214176546e-15,3.11385150806776e-27,0.0214310647025199,4.14390392126007e-09,4.63901802158333e-19,1.27701383868473e-17,0.0258901622845605,0.000231535804261463,4.98149410462452e-16,0.013623412296834,4.40500832334277e-12,1.40614488977474e-08,8.55603827481835e-22,0.000273882957318096,0.00255616638869517,0.000457745207478008,9.44975650227536e-06,9.04262361401944e-09,0.00192490591075356,0.000165332509619314,3.36943802201812e-27,2.21080331092196e-11,7.6121819147192e-21,3.04050793702722e-07,1.53923876512361e-24,1.10703529647182e-15,1.98179190076235e-27,0.211242999857428,0.00592168735223207,1.93293319505114e-24,5.9041016007777e-23
"X173",1.15514089105112e-11,1.1114831661452e-05,3.83711968366315e-27,1.34845308008214e-10,0.000269468620923644,0.000725599457820667,0.322016142251245,0.256688787414663,0.0152315587291813,2.52756674288275e-12,0.02001419348617,0.0024313773349376,1.98877259050967e-17,9.04408947131694e-12,3.04600960648619e-17,4.57112662473851e-28,7.67007018462095e-18,2.60376265366925e-07,1.53810696459434e-08,6.22431772923693e-11,0.0329475214220507,0.0103708715399858,1.80847739027726e-21,0.0188501911507406,7.57879896050608e-16,2.1528303117292e-33,0.00237270933594477,4.0201838690748e-10,1.99883323721977e-15,0.00461902264884925,7.96404899695823e-13,2.23900571172223e-20,2.24363232388627e-13,0.0808663452378187,2.55992870239193e-11,1.06257697502905e-23,7.49745031710777e-16,5.62791165349959e-08,1.31035056246319e-07,1.53325834071214e-21,1.99070248991001e-10,3.28027519640666e-09,3.80781755352531e-32,0.00831456931404384,0.00638622009010259,2.948960331116e-30,7.47678410649304e-06,0.0301691152215138,7.11224729273192e-17,1.8990503850104e-18,1.16863315422235e-20,0.21846150172902,0.0276864287584627,3.07008083809991e-16,4.07153804508876e-06
"X137",4.98913301066648e-12,2.52634153360412e-09,3.73735404788206e-29,4.92395791484372e-09,5.31234191249906e-08,0.0106219757136378,0.20812240207126,0.235037538572204,1.11861557027434e-11,1.02444547951992e-19,0.0236810783805189,2.13601900959047e-16,2.34040714246399e-37,1.68722009997059e-07,2.64364016809708e-12,7.38375135169863e-07,7.23176252880335e-14,2.41335561212608e-12,5.40023045815448e-19,1.20517371745126e-12,0.00093266040178738,1.23860269707798e-18,1.03196855878974e-25,5.42549387150599e-11,4.17070460137194e-09,3.83968045662182e-15,7.12701860486957e-22,7.44040537867171e-20,0.000410255229702523,1.38701052388465e-13,1.33235983176685e-27,9.29835236612084e-31,6.17143486331806e-12,0.212207241619949,4.99756598120653e-12,6.83410334637944e-27,8.27948349836721e-08,4.19377805730927e-08,1.08723114430903e-27,5.32980750471776e-21,6.92155321346426e-19,3.88024467444892e-18,9.46458344064659e-28,0.0294161140699052,0.0609166223849729,8.79458550748946e-30,1.80852057945826e-10,0.045727370531127,1.28044826295721e-21,1.54325698735614e-16,1.489570537578e-06,0.208312623975266,0.00883506621853409,9.41132109230746e-09,5.12413516020321e-06
"X122",4.9203120173514e-16,8.47564873071228e-17,3.65291392028342e-14,3.21225735878723e-17,2.3147431538087e-15,0.0348064451630355,0.0737817479816484,0.141387448278404,1.84982514576084e-13,4.79969691405003e-07,0.0143246447009745,1.00779209541778e-14,6.07258524305675e-22,0.000695629014530307,0.000201218361373119,0.000471275148911209,3.63927233390983e-13,4.262955848963e-14,0.00294719399502687,2.31532549016669e-19,3.76832288443636e-17,3.46781340014384e-18,1.27203734632854e-11,6.89450816374912e-21,2.77192097235277e-13,3.36678219161949e-05,1.07721939152314e-18,2.07579244831253e-12,0.0058424862557916,2.30189838651319e-10,8.97485663820264e-08,2.83322147021491e-19,2.21390211242038e-06,0.375328106031682,7.25335287406034e-15,1.31873437161945e-12,5.21755931531044e-09,2.87661122745685e-18,1.46025456008787e-37,0.00303343597598214,2.64312505913445e-23,5.21474699016123e-08,0.00629478878693696,0.0390458566950876,0.0974463600603907,1.31886147626385e-16,5.09094005324544e-25,0.0173389914291081,9.56958548779724e-10,9.32329837618694e-06,1.06250100300605e-09,0.191020925707343,3.60651767399961e-13,3.60488971558002e-13,4.18531229491817e-18
"X129",8.47485389387784e-09,0.00025125127532927,5.30065170276996e-09,2.50712324151171e-12,1.9675948887997e-13,0.0215146251095631,0.00725368312367081,0.0494210306524825,0.00281227482053626,4.84331838979908e-05,1.28176228213368e-05,0.00832429428017516,0.00415237307979111,7.22231848809654e-06,1.06553223651374e-23,5.22964456681939e-11,1.19341766320994e-05,1.13898495332746e-15,0.00855307288292807,2.44205444866803e-08,1.1133282794676e-14,1.70852024481098e-05,0.00239659554308871,6.11928936088986e-08,1.05117207134287e-12,0.00012185857919201,1.18937383168402e-09,0.00122471453974029,9.07793963276426e-24,4.87583006778665e-09,0.0483500045700323,4.26104494306245e-08,8.96258773670644e-11,0.441329294644341,1.88189123459318e-16,0.0209564660805844,3.07625917344641e-09,2.71041483177671e-12,0.0515108854814035,3.91048797488277e-11,1.48203805709575e-06,4.843142149925e-06,0.0032808698151806,1.60450708973824e-13,0.0525931267193277,0.0101266800687732,0.000252020573272858,8.04654056407058e-13,1.47370022247429e-13,2.01496584562743e-08,0.000744771646416698,0.198720511721572,3.24844444350016e-15,2.3288837414203e-14,9.90354327615837e-07
"X84",4.11629107676808e-05,0.000104377441864731,7.17714813393245e-16,4.38675056818215e-12,0.000203502626768465,0.008788745553696,3.43110753240548e-14,0.00296401612245824,0.000186526254148332,2.15175460384443e-06,5.75285652714173e-17,0.00407892906040793,0.00441893267765337,7.80373117616784e-16,1.68807528940535e-29,0.0144595312596979,1.06911019396169e-13,1.09492539076394e-07,4.08323694533338e-05,4.84425575516475e-07,7.21194873059292e-28,1.46878551412685e-09,6.80455756151138e-05,3.82807995765504e-05,1.12076176811068e-14,2.25696750320418e-08,0.00962416485546073,0.000108905346230002,1.06961489577892e-16,8.84516058730063e-23,0.0451146462652042,1.56700552877942e-08,2.2979270982976e-07,0.363138859330462,1.79634764417546e-09,0.00813800286500279,4.91029088222528e-06,1.81582228717636e-14,0.197285664578249,2.49827686756658e-14,0.000144229372201252,1.53273012197574e-13,1.10378395345825e-07,2.42587731547071e-27,2.4583932891162e-12,0.0123195360797226,0.00656478088831495,7.16733181996027e-16,2.12068130217591e-11,8.75078412904227e-12,1.28710842021603e-10,0.223026998838765,0.00168544722285823,0.00141007029875532,0.00773558431551208
"X79",3.81759169799473e-09,1.41045512964948e-10,3.39532460334866e-08,4.99097406725934e-16,0.0122244722772483,0.0104085717416565,4.31378674859674e-12,0.00480101904837336,1.04656015180016e-19,1.59816988573352e-35,6.40749911761132e-12,6.58415632503999e-20,0.0501654671584053,4.71119542085038e-14,0.000389284513653829,0.0375627783734418,3.70014516673891e-20,6.36318378645994e-17,3.10100271640407e-15,6.17822541603156e-22,6.83962262035734e-32,2.85635223479082e-15,4.92898857249192e-12,0.00336561362004357,1.42017967943764e-16,1.13439319058479e-10,0.00720684893174406,8.42015304761686e-16,0.000179044708485133,1.96350812360013e-14,6.89625127968439e-18,1.46090517143809e-12,3.9791292900026e-06,0.232152908062216,2.20556053014805e-06,1.50708021713238e-20,3.4947206223401e-17,2.05800072219768e-22,0.275876178425964,1.41174775660465e-20,1.3153879842454e-15,3.28151895510515e-16,1.34708462188265e-14,0.0522084429122177,1.93846542874261e-47,1.40381912956107e-17,1.50296142390589e-07,0.00563187403951006,1.73033266086332e-27,2.14596561191749e-05,2.24124089282022e-07,0.252382168240529,5.68254086278807e-05,5.43612961515342e-07,1.27902521693303e-15
