"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52","r53","r54","r55","r56"
"X140",3.27041774831416e-15,8.07358172395872e-11,2.09891712071219e-24,0.0496327175794708,5.86396181376451e-18,6.59264178705027e-09,9.8854616624824e-07,0.00778974631322867,6.17330200661109e-20,1.48373213201587e-10,9.59822508303338e-21,0.30169267503009,0.0500000730815366,1.77288987360063e-12,1.54214667884852e-22,9.12559267995561e-14,5.81757074884602e-27,3.5007474638434e-07,6.52658920633572e-11,5.2941563335204e-08,2.35594419725076e-25,6.65323463543435e-12,3.54407603656191e-19,2.53192350228596e-09,2.14181551655053e-08,0.00566258540223733,0.161121280714256,5.94490005082452e-12,1.37956098346165e-14,5.74731982004946e-11,2.23984416680983e-08,5.80304820135985e-08,8.43708423757717e-15,2.38937439046583e-10,8.35412047268131e-32,1.51898912481132e-10,0.000526648634697973,7.83011205256683e-28,6.19346892204844e-18,0.173054827994597,2.00469567574714e-39,5.5039289908508e-46,1.87141784042967e-19,8.20695465075378e-17,9.00502979451598e-14,0.163728067245442,5.10221310638073e-18,1.19766363705372e-12,0.000122139137646246,2.2186664429215e-17,7.25259761896252e-33,4.16708946676967e-13,1.10406945641404e-14,3.04595804797382e-19,4.03233980681716e-24,0.000250957144173283
"X126",0.00781267908256083,0.00077681454108547,1.06409475683479e-27,0.0555849108194766,2.91397341106101e-18,2.3823348928541e-23,1.48774817600127e-06,6.80749532832901e-18,1.97913920986969e-25,3.5033528825887e-15,5.64720487609965e-16,0.385511906052355,0.0512026026181465,1.5688181148065e-19,7.00134863265281e-17,3.42814210045553e-19,3.97546510805063e-31,8.55105755736142e-16,0.00171685922582699,1.00604886697046e-09,4.08453958188873e-21,8.74431845551859e-17,6.01933628059524e-21,2.6684288502194e-09,1.63936410596848e-12,6.68637491591127e-12,0.126135555107182,1.40044301826013e-16,4.06261019223675e-23,1.36017800681533e-12,7.69872435566853e-10,1.0863768709635e-19,3.15669624581511e-27,5.98877672978108e-11,7.48387290436093e-21,6.41040235733002e-05,3.20886428415363e-14,2.80355478996735e-07,1.56323485782533e-13,0.153325360474368,1.67223349800973e-15,0.000248802935550428,5.97279126196673e-21,5.02632619972963e-09,9.05684986035458e-38,0.030405908604714,4.83513892060195e-13,8.91249251666803e-26,3.53076057202198e-09,2.86587851436365e-11,3.0823402278266e-15,1.68924684933925e-19,0.105266664973868,8.05530812633755e-20,4.40541656655742e-30,1.64831685354025e-12
"X90",0.0241475803280343,0.00108714131126493,9.87002816374853e-19,0.0546865857321069,1.66056518435025e-21,7.69972262652157e-15,9.83229608414828e-16,1.75139477607912e-16,1.2821284446625e-27,1.50067544154932e-18,1.35836720005033e-19,0.420519670144729,0.0710697791354558,2.26970347860044e-24,3.54181257104487e-19,1.54409019365976e-17,1.19087696567932e-20,6.34571532956189e-19,2.24567887555579e-07,7.63835908898734e-06,2.30132339201707e-08,1.20804133262643e-09,6.18504796275728e-22,5.17827454460145e-12,0.000632322552204011,5.1871901845952e-16,0.0601950863240507,2.39224014672226e-14,1.56916295815347e-15,5.7696759680835e-09,1.42211222501938e-12,1.47636761976551e-05,2.32585595287007e-13,1.5896056481616e-17,2.68025942088411e-19,2.77773555501187e-10,2.98902469208522e-13,0.0019458922648231,0.00812049400652468,0.0837511488840201,0.0766164848413955,0.0611352147990149,2.07808052004092e-30,0.000132599470915997,2.59400509530305e-15,6.83122481948319e-25,8.80728772062292e-13,1.39415908025141e-16,2.88122442594527e-16,5.89715619252548e-06,1.66480035859188e-10,3.91033324224684e-16,0.0349208584350766,7.30577328329897e-32,5.66183146328535e-08,1.05139836951544e-22
"X132",0.0249195372454283,0.00503969515185368,2.30134345901928e-21,0.0523581866839728,2.7764263127424e-28,4.87036857365683e-08,4.53537164222544e-27,3.66170196648823e-09,2.92435993627371e-17,2.19134229584809e-12,1.27804295974735e-25,0.40027239630939,0.0977614432550534,1.17496572692345e-18,7.90455403291581e-10,1.01135132743305e-17,7.25772244478286e-20,5.40432933367819e-14,1.01831987785894e-23,1.90589679868387e-18,9.84408064680033e-12,1.9416652138919e-12,2.54335521553109e-15,4.30496037448514e-07,1.12451401271669e-13,0.000147835327172369,0.0119106215249827,1.19418700206176e-22,9.31261766027936e-14,3.52000199559354e-20,7.31791347908416e-10,0.00032413090126597,1.40978293477533e-05,4.1273132087584e-22,3.58281473152164e-22,1.91710870456223e-12,0.010316203166824,7.61410143286987e-27,4.08578215028987e-14,0.00364031190833892,0.198110971086003,0.0711326509864163,3.16954335456612e-26,9.08503100466354e-19,6.08112409699451e-05,3.9129266765805e-09,5.60512065886208e-19,1.29201107089798e-18,2.7109539812039e-22,0.0147046753131095,0.000129611026796292,1.07515899759194e-24,1.4522109158998e-18,0.00782652568306756,7.84559894488026e-05,5.58618022836856e-18
"X173",5.33562192689343e-27,0.000330586997402218,5.0200657602789e-10,0.0579984728798971,5.60245126893693e-20,1.92770788347668e-08,5.38186507276684e-30,5.67340888581965e-09,6.12269893870449e-08,1.1032086514267e-14,1.80154540654939e-09,0.305114191568023,0.137127064034371,3.16329095533099e-17,0.00470259238386199,1.65082466884897e-08,0.000196483239085798,3.76466954663502e-19,5.16267741456314e-22,4.58020341496247e-17,1.37335555428812e-13,1.27183956034066e-28,0.00175239846913539,2.43369011649349e-17,1.14676907056056e-13,2.51113175415364e-16,5.56235068356852e-09,1.25503446182754e-16,2.71331187857767e-13,1.0992195656376e-14,2.21585430165626e-14,5.18430546793682e-17,2.25848497908225e-15,3.27033845594935e-20,7.30258319471517e-14,9.60588129349177e-16,0.0897373759734005,2.05383268448374e-32,9.31172024618817e-17,1.00878395813477e-30,0.208481662547029,0.0431652670021278,1.3196681320631e-19,9.27244177102377e-23,5.56638211281797e-10,3.57467884338547e-07,3.56248545475204e-11,2.26239200790489e-19,4.97920146096066e-25,2.53521782954188e-07,1.46959713975492e-13,3.34032285795562e-17,0.000290888196933474,0.0424456639920616,4.72347660144354e-18,1.8628478653785e-20
"X137",9.25594023188751e-40,1.41702911073032e-12,9.81907948526682e-13,0.0397276265114171,3.48996284612664e-19,5.37499100601365e-09,9.95566097558655e-14,1.16823659153445e-06,8.55970010049189e-21,2.37144928028441e-07,4.49508097422119e-14,0.180529861315512,0.199506931818202,1.58328020016255e-14,2.37680036710871e-08,1.74688817921755e-12,0.0073500949806252,4.74412509125888e-35,2.03378627855958e-25,1.68686119096939e-05,2.41188117622521e-15,4.18361985041907e-27,2.93885065060888e-12,2.77308477026325e-25,1.28666782341665e-08,8.40479088303631e-15,1.39632071730314e-28,2.77826778828621e-10,1.29982048063596e-17,3.69611506410602e-09,4.34624009462705e-11,3.17303547125306e-23,1.25879294872483e-36,1.86489129321184e-17,5.03008492317107e-23,1.24418548081043e-18,0.248583246561201,1.59716206340604e-16,2.37412391039515e-21,1.15048058738375e-44,0.123228945503553,0.00256057462931757,1.63670577671248e-23,2.00978070022684e-23,4.10688000432276e-26,2.87385890357533e-11,4.54980410420826e-20,3.61847226541038e-18,1.10703108546828e-22,6.22256145157353e-05,4.44161878444086e-05,2.17007110728499e-12,0.0215838065743116,0.055531457657745,9.41109529823896e-36,5.37317603584934e-10
"X122",1.60682238975289e-17,4.9750672053532e-13,4.1249450026196e-19,0.0338775786495593,2.84612431011944e-06,0.000601292550259692,0.000261422893459025,3.84360384656225e-05,9.13674468084544e-14,9.61035411545683e-06,2.34758755458659e-11,0.0701825167608497,0.264424005838465,0.000337617551963228,7.55414564666811e-11,0.0109666784159821,9.38279990109598e-05,2.06937120407219e-22,8.48217242712759e-17,0.0161421166255957,6.21293359591828e-13,3.53336400240462e-05,2.31846495138627e-20,2.49630288111202e-21,0.00255036368892624,0.0102584359102575,4.76827886665175e-26,1.39788522901059e-10,0.00110597205434204,0.000529823477810261,0.00319042194330778,1.9278604074995e-10,1.55909401916317e-22,4.37094531859662e-08,3.02239970501138e-32,1.05081494564064e-07,0.381905251556867,5.48650296750214e-06,3.05685642791193e-06,5.81388281014087e-11,0.0252674023870643,1.01906721302964e-16,1.30078813671262e-06,6.89507978981824e-11,3.50956327827256e-08,0.00422585595605004,5.1117842538728e-11,4.06042687237019e-15,5.02322876536409e-05,0.0110368728431765,0.0227555125965914,1.63692814390312e-10,0.0011072285139759,1.72109030157692e-09,6.96728137496928e-12,4.67117184619527e-08
"X129",0.0130773807406044,1.04274604800281e-22,2.0370386113807e-28,0.0204202974448716,1.28083924766836e-10,2.96503939703763e-19,5.02623413792285e-26,1.03126049198064e-15,4.92909446962563e-15,1.15952556447149e-27,4.5332704076467e-08,0.0242703177578215,0.29657124926837,3.32501871944421e-14,6.32641603230173e-20,1.48898740047337e-18,2.09684349102938e-23,4.1012314395336e-07,6.73540412082754e-17,1.22009727618398e-14,2.51260359448733e-16,0.00620295931961897,7.94017368909684e-11,3.50561580603801e-15,2.04548480479139e-12,0.0155627294817189,6.82277948072659e-29,1.51831102065685e-15,6.07345494731815e-12,1.05507335481622e-12,1.63863589812838e-12,1.4531170167327e-16,6.62411957341805e-32,5.49633686966375e-15,3.64208016746119e-09,2.08778129467446e-06,0.295260859634932,2.27129904544788e-05,2.51941422874788e-08,0.00723869658109597,7.33990506014271e-61,2.06600857811635e-11,1.65457965112542e-08,0.00109975231407972,2.3478017139145e-07,2.71063032609792e-08,0.0029117591597276,1.33623463730928e-11,0.112779026772358,8.28282052377057e-18,2.36161761086412e-21,1.86923337912831e-05,1.06448151328709e-18,1.37005950422492e-41,0.10402708770461,1.53449082880612e-13
"X84",4.59630910696126e-28,1.74840162661002e-14,2.92251115996908e-16,0.0213616957244152,2.37364284822812e-05,3.08580258303537e-15,2.61504740131976e-20,1.23478251990718e-29,2.63369986323034e-16,4.70290084090652e-20,2.06572712267128e-08,0.00919318865715824,0.319020398878013,3.58330570352492e-20,2.0627056832828e-29,2.97019877205937e-21,1.99582253424337e-10,3.53382125945795e-05,1.83353372226404e-13,9.17042888575506e-23,1.82952176920322e-07,1.39471366606918e-07,1.12170959740368e-07,3.6331223375179e-12,1.34646890652565e-09,0.0245727058058214,3.44751810070716e-36,1.01380193777608e-09,7.3655877801188e-08,1.44130722770064e-15,2.09613464440989e-18,3.02190479609134e-28,3.3809212410598e-24,1.13264750822498e-07,0.00819058057651587,1.34181504820939e-07,0.13375963923999,0.00163388783383696,3.96330265493038e-13,8.42855333252775e-05,4.73304334466928e-52,0.0147394795554949,3.95066212742521e-13,8.32538362142397e-07,2.01032348950568e-12,0.000109339638023734,0.00356202064968389,2.81804979369818e-09,0.265507183871643,1.2887022328677e-18,6.875562449823e-20,2.70070261187327e-08,5.1347359608638e-12,0.000256670596833572,0.0879597152457815,5.97562002758918e-19
"X79",9.31374438922669e-34,7.96554681873199e-15,1.24103522780925e-10,0.0212461993706711,2.1787415086947e-11,3.05762469808379e-08,0.00148085043999372,1.59680862856904e-21,1.3926936141835e-06,2.5099299916307e-07,9.85252500154756e-10,0.00623373026401745,0.345267242169782,1.7003772194255e-15,3.12834792425899e-19,0.00517889957944764,2.89054019648267e-07,9.33790816307055e-14,0.00368544188584329,1.06444167841241e-06,1.22777089041456e-12,9.05268699517226e-20,0.000335610937119067,5.6363998624911e-05,0.000394466209958929,5.9359646863845e-05,7.95246475724745e-19,3.87557345152449e-09,0.00632677892660606,9.48456901172018e-17,0.0124895761272881,2.29428848587589e-20,0.0799388325205391,2.21413578639744e-11,7.94616203163289e-13,1.59352718196309e-08,0.0247397584206647,4.81810601673732e-11,1.79527125293289e-08,4.81273242987801e-05,0.004209550946575,0.0172940970507656,1.49638465733696e-18,2.6687947772789e-13,1.53454765860556e-22,0.00888017637015756,1.14827006897197e-12,4.38672794684815e-08,0.284635210102936,1.23991171225561e-06,4.47238574441481e-12,5.95568342956302e-13,0.0292294504399148,0.0130123072660115,5.26724610409442e-18,1.53229686889158e-11
"X79.1",5.789151055893e-15,4.86262987487349e-08,9.8187662804394e-14,0.0301033376820066,2.41778593194027e-22,6.10020301177281e-23,1.65628628810714e-10,1.84948574563884e-31,1.12034118695428e-15,0.00765926506286337,3.0171082718005e-20,3.74604492777782e-05,0.342790911054938,1.07211014423578e-05,9.20018904809726e-16,1.80987853786486e-13,3.81701799870147e-05,8.4582970904087e-09,0.00833030708661429,3.02931710982922e-10,1.12718638531269e-28,1.85452158489592e-17,1.72205286281471e-14,2.82526307917495e-17,3.26496428510627e-13,6.46923198860658e-26,0.0254946225168775,3.77277562833387e-16,1.20755122397224e-10,2.73013719075889e-25,0.0122591928599727,7.33091241163368e-13,0.215593711815096,7.58402366245411e-19,5.50185350577357e-23,1.70589463006549e-21,1.87975659942279e-11,1.19558374402907e-15,8.36540846008123e-15,2.64051599703512e-12,0.0288790499206736,0.00132364623260069,1.51088812707509e-19,4.77494355532015e-27,8.91267652358186e-30,0.0102882599878806,2.81905259212223e-19,3.26003365409676e-09,0.175444636712614,1.94786370699054e-06,5.25483047997164e-05,5.18420083362603e-16,0.0445858570645912,0.00187493630741344,3.04773686878646e-23,3.57753955149285e-14
"X97",0.00246629310081852,0.00778987862252355,1.04188247753543e-10,0.0396648668164314,5.62743022362659e-19,1.44674598135368e-08,3.14810995979569e-05,6.24269363698333e-16,3.92606430322368e-09,9.47612913585308e-05,1.27783450353254e-09,0.000895342332332072,0.319432992916484,1.19846459092235e-16,0.00223854059562305,2.44088823610953e-12,0.00940294208462046,1.64745835268224e-15,0.00904035600019304,4.21644248810606e-16,8.05911284810885e-20,1.02823147146857e-14,3.14060010399234e-17,3.06263181563939e-13,6.87760723625547e-11,1.03914295225796e-09,0.112327391262601,2.18487208259147e-14,1.37782718054362e-21,2.44448182833385e-06,1.05467088215089e-05,0.00406403166063293,0.305699236538195,3.07542472587622e-08,3.78031871796463e-20,4.88406344698614e-21,2.54188393243994e-20,1.60074209252281e-11,2.33239728836959e-26,4.4295481304084e-18,0.0433289984497721,0.00357533898621455,2.61922738194169e-12,1.47273787485082e-06,1.48953012310217e-06,0.00763806223243671,2.83267405437485e-10,3.22523673512293e-17,0.048728705807403,5.18601356496065e-08,4.80669361056155e-06,2.19601387335984e-09,0.0291643386438969,1.11638838957283e-09,2.10793918084229e-13,1.97708543592048e-13
