"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52","r53","r54","r55","r56","r57"
"X140",0.000997301766262444,0.167593450390779,0.306321494469625,2.22109354625518e-11,0.00936074993387737,4.51202553073111e-16,2.31357382228941e-15,9.08067225162195e-18,1.47137112418684e-30,5.63790628614877e-12,5.13908642942507e-15,3.13964840434223e-10,1.59118396010423e-20,3.70796933408836e-41,2.76134114268855e-24,2.89121293565642e-31,1.36067281880434e-05,5.42887809808904e-21,5.7831511201893e-19,3.51423394845947e-09,6.96756251296502e-17,3.11896894928798e-20,2.11855388549595e-15,1.72095814648927e-05,1.21513511362738e-22,3.17468259126667e-13,4.76002039641088e-13,7.27891935439181e-44,3.82217144963338e-18,4.96321652855406e-22,0.286270208956275,3.00595374901322e-20,8.93666648380343e-18,1.31605345551345e-20,2.58614756661302e-23,5.10672480945006e-12,6.42954817428278e-14,6.99526225820641e-11,9.14622522837066e-09,0.00784930057853484,1.24071410031214e-22,1.42651711157121e-07,1.26442731755024e-19,1.10625367042426e-23,1.37453638456951e-14,3.20350477260495e-41,2.23764245682611e-05,0.000603200190413624,5.43231647408375e-09,2.72550042238595e-10,6.29681932818391e-12,0.0946599321477959,0.0589359403692095,2.67160331308281e-21,1.01382743095363e-16,0.111948546104162,4.81678048371772e-63
"X126",1.0197621670147e-06,0.196308378963521,0.366041270408882,0.00462528697172903,0.00363470772363222,1.31279592373233e-16,7.12733887832672e-26,3.49307668780209e-11,1.17489449948575e-22,3.12867871372799e-15,8.52417952102508e-10,1.52092576866322e-34,1.00942919803989e-07,9.30873350191014e-09,2.96916114958239e-12,0.01769267919798,4.9200446237687e-11,7.328655406507e-10,1.27329440683696e-07,5.86301891835186e-05,6.0414020463395e-11,1.38114587643838e-15,1.5966145190955e-16,8.68868910981109e-06,4.44056578572688e-29,1.13836941967995e-07,7.64491702000274e-14,0.0971739845864562,2.26000771392407e-07,1.51618299812596e-32,0.224760851651567,5.49643627929273e-22,2.48678606555874e-16,1.65360834752072e-14,1.24029624116297e-07,0.00145700678237175,3.11405148221857e-17,2.09629560539781e-05,7.78693012136574e-10,0.00641207057035427,2.71667029140059e-20,1.19573489421799e-12,2.67392714057054e-16,0.00142562756922367,3.54906993976662e-13,0.0116601660177426,4.66512424713996e-05,0.0128327848248799,6.74389278280927e-36,2.1688818518565e-16,9.66096826352408e-05,9.03432916362241e-07,0.00917582400585738,2.70493311431689e-20,9.98530274197083e-21,0.0970352221280138,2.5222069744959e-12
"X90",3.00721921956644e-11,0.210641919417641,0.389029800152967,1.83331572985429e-05,2.16003445137499e-07,1.67626073755469e-08,2.09621309927669e-21,1.9347320009913e-08,2.43274170780109e-11,8.99247744718239e-08,4.54725945516068e-14,5.15604004154341e-27,1.5830910057556e-13,0.0136864484420681,1.53223177605537e-16,0.027643229051419,0.00471165462299528,0.00355129765165371,2.52863316507946e-09,2.1237113498121e-10,7.13811020260354e-07,3.41631107267911e-13,9.87855620355812e-06,1.12988981908119e-12,4.05359301204209e-20,8.99380161847012e-13,0.00485935339981837,0.0735447665459131,4.67354497812987e-08,7.01453798635737e-13,0.0905005296953521,3.15075817640358e-15,5.66877073101327e-13,1.0311016982244e-17,2.4914834092653e-05,1.41398797900932e-09,3.9494012528694e-07,0.00237019536382541,3.62564088737994e-13,5.7807970986126e-09,7.82414743887604e-09,1.27301333521597e-16,6.03144418024956e-07,2.03449389934711e-23,2.02813143920565e-19,5.23961491031446e-09,1.62807230274414e-07,0.018642251369813,1.71914858961134e-13,7.8607044433311e-13,0.00872437667774973,2.709479160136e-30,4.59509134858467e-11,2.87512767775562e-10,9.43219095157979e-17,0.0510845406246673,0.105187188019866
"X132",6.70591472376772e-13,0.23165962887969,0.345959892849437,9.23313008159544e-23,2.82249145894279e-17,0.00621672994519955,4.83591130752391e-16,2.02584669145505e-10,6.57408529983095e-14,2.90490367449822e-16,7.61282360097653e-10,4.98011405824714e-22,1.41714991037139e-06,0.000418619962747058,6.86476711622983e-13,1.85136546186796e-05,0.0235656753923149,0.000316771169043736,4.33717661639533e-15,1.03987807482112e-12,0.000527771804692423,1.18443217906577e-14,1.25338528760173e-07,2.67398435797472e-14,2.09622882735366e-14,1.02862079653744e-19,0.0113671173684592,0.00457573755522141,1.06165848554649e-18,0.0053775453671011,0.0278220053932287,1.89193512719387e-21,6.20496828260884e-08,7.37616007724175e-15,6.550056530648e-05,3.95001134596747e-29,1.56093552908417e-14,0.00300625907405702,0.00495315651663607,4.83336993204622e-26,7.9552690583488e-07,1.60321610229434e-14,1.53391615862683e-16,3.95191061977175e-19,4.06550623256203e-15,1.69244500149855e-21,7.32925980948568e-40,0.0189935815018748,0.0454912457127167,3.85332064285751e-20,4.62876213681882e-05,5.11595588064171e-14,4.69976619575191e-10,2.4610565102045e-06,3.76783069401948e-05,0.000917420252613585,0.233383432016792
"X173",1.07534516322648e-12,0.244647026181639,0.244319398214233,5.10941911838723e-25,2.44579241646905e-13,1.20012346772039e-08,8.4987235233561e-16,9.02671172492435e-15,0.000120444777087864,2.03677367473045e-33,7.66875214840392e-14,1.05998456229412e-14,5.21778115599264e-07,1.45756405587382e-12,0.00650063756030846,1.10551497625344e-40,0.0275286649197406,8.03715580985505e-15,4.73822757545291e-26,9.93844549982895e-15,0.00120480154342173,6.24854958002141e-11,5.71818628339751e-16,1.2407430214078e-13,3.76917293351221e-19,9.51259973011005e-13,2.60482288091161e-05,0.0121605732315003,5.99268464984892e-14,2.74158750331407e-05,0.012280387596753,1.01888535308684e-07,0.00849166635017741,2.36890172793703e-17,4.01510633144255e-06,5.39314744462302e-18,1.85605349582759e-09,0.000231187269137487,1.83496145292325e-06,8.37137018548432e-31,3.2212991263507e-10,1.31735829178445e-23,7.93598550955998e-11,9.56566732838102e-14,1.01419094149687e-06,1.54185529142147e-18,8.58347314910198e-29,0.017437725262053,0.146948003134788,2.19791250862876e-33,1.82548361476042e-35,2.88066483680201e-11,1.43869740896935e-13,6.94824480469958e-12,9.64517130462251e-20,3.19325114672555e-25,0.245305083208618
"X137",4.57536337706155e-08,0.28612141382964,0.122555223276461,8.59710687449754e-12,5.88216082077195e-07,0.000443929897783489,0.000299904159485691,1.28095523067335e-10,0.000474228789184929,4.78393103123672e-13,0.000168885291899082,5.09502810243563e-14,3.2200884138124e-11,7.4008280738266e-19,0.00284726136120415,1.87833352926134e-30,0.00483052631621626,1.52233910200543e-18,1.03767436982272e-05,4.1624076973055e-11,0.00603143144213552,4.63588819136513e-09,9.30776965790298e-19,1.2811570735447e-17,7.36987895190891e-10,5.86412935972821e-20,5.96149828954797e-18,0.0226999655072358,9.0873595510949e-13,4.36668445691852e-09,0.00337457536341538,0.00682593663000727,0.000388110540585419,2.05742824397578e-12,2.18946379310466e-13,2.15251479630335e-10,1.06229595405973e-05,0.00568922670846587,5.35808008103973e-05,3.69880621218386e-05,3.01056495138853e-15,1.95237170697263e-06,8.34016102588799e-05,1.28966802765856e-08,6.48263800391216e-13,0.0169078095061045,0.0107509180859684,0.00449955354838141,0.312320921841729,1.17964336684837e-13,1.31391992594886e-27,4.64833382647574e-07,3.95456725809218e-06,1.17760715572475e-09,3.94390676146938e-19,6.75018183807042e-36,0.153789465316658
"X122",9.19134643035698e-12,0.322070208835401,0.0227855684654469,0.0101056022677089,9.12462116986189e-08,0.00147342352336391,0.0397818240400064,4.02981086773521e-13,8.24892867063809e-07,2.07553534255217e-09,2.14376039537747e-05,0.000665382037706672,1.01208161471995e-15,1.80464942084045e-26,1.28757409731799e-21,0.0268126604054824,3.59121273595256e-05,0.00430177774398027,0.0108427946908927,6.66738987526195e-10,0.0144680429293023,1.19288287834685e-13,2.34814161471641e-15,2.59586085818983e-17,0.00839012599201359,8.03751389114383e-10,3.56362869178704e-12,0.00321816023210539,1.42387675519223e-18,1.92586813549142e-10,2.00152630005414e-15,1.13662243452882e-16,1.86461359751979e-06,3.17409418667605e-08,3.20360716921332e-08,2.62665873152553e-13,0.000537931348091119,0.000355546458501613,7.39946732077566e-15,0.000579988140071583,0.0101121079606221,1.01180649031927e-08,5.83159453706421e-14,1.80122546604133e-24,3.45038166510991e-10,0.0114567937758983,0.0195783713122276,7.51855906602119e-05,0.386066955124374,0.00863031487319046,0.0193502292351169,0.00046196604271528,7.22363860317052e-09,7.96294743246225e-21,0.000126307220649713,0.000498133347078707,0.0351673394723843
"X129",1.17218388210033e-17,0.323306291669474,4.1954327963317e-15,5.19348076875474e-10,1.32081410284784e-30,9.69008340939075e-28,0.16443206382348,2.85764684415775e-08,1.96220463623155e-21,0.00355672940022145,5.5688272796868e-11,0.00735509663093421,1.80605127018219e-16,6.08663930199873e-22,3.38126281059217e-21,0.0299258617573315,2.00284942439526e-12,2.87683595581895e-05,0.00385341036671502,1.26376444260074e-13,2.91365781518437e-05,2.73076092095812e-16,1.29652140069935e-09,4.73259839743874e-25,5.81862376412634e-17,0.00474627864003217,3.76554836189177e-05,5.81860367575221e-19,1.09200191713256e-22,0.00122708513437564,8.01904314677301e-41,1.95895207033932e-11,5.44370138390795e-18,2.90457328501774e-11,3.34720377407114e-14,2.29740810031405e-11,0.0015850004327877,1.18452063856317e-21,4.35546700467291e-30,2.24151738515864e-26,0.0187274651098461,8.68943664599635e-24,6.74600261238755e-18,7.86470038238422e-57,1.10846421204237e-24,0.00315392266832577,2.66919055990691e-12,2.19156182879799e-12,0.264897227941636,0.00474299500582628,0.0973421045974589,4.97363548318596e-06,7.08982740124733e-17,1.12816219194283e-20,0.00505106113534643,0.00747626997645479,3.09399015230383e-37
"X84",1.10405261975862e-23,0.31195492856545,1.46405397742183e-16,4.69640218036874e-10,3.61368607265849e-24,6.16014667263696e-13,0.34394503591634,1.51553709238562e-08,1.13701070843461e-16,0.00647665574859601,1.60797199826656e-12,0.0202516521355485,6.97061212865564e-18,4.86689300317714e-08,7.58324948631997e-09,6.23860024072833e-16,2.10153360993861e-17,1.46592186634198e-19,0.00482799861207883,1.26911649864612e-18,0.00823939034214723,1.80110494287383e-08,7.51712317056937e-08,3.10708252640395e-20,5.35076972095556e-07,1.4252251618779e-06,9.33376025668681e-06,2.53634423997046e-15,3.18688671366443e-05,0.00848051194405595,1.00108384642155e-26,0.00969172202298178,3.8146709320274e-08,0.00195197604312891,9.27259211716726e-09,3.31629928813144e-11,0.0025937935298953,1.75977962716092e-11,4.41381993556947e-22,8.36858050452629e-37,0.0123019836552639,6.30313573537674e-08,4.78225038831243e-09,2.66107025334111e-27,3.50053478377427e-19,0.00716430563103523,1.29835865322363e-19,1.63760821740828e-07,0.0937250962825303,2.5649323658412e-07,0.0967001813378768,4.64765844244891e-09,1.48347885614642e-16,6.94796149889765e-05,9.58866092765074e-12,2.81234597761268e-07,3.79978035064738e-08
"X79",1.88028615720055e-08,0.29456340509584,1.38536687484597e-17,2.63417344273054e-05,1.38320140332234e-11,7.03823276319986e-08,0.406878430902432,7.36356307317912e-17,3.52645806505582e-08,1.49984049384946e-21,3.68867672117231e-11,0.00915784739485883,2.32840136281733e-13,0.00450519323100543,1.97528641337126e-06,1.95213361090497e-54,0.0377820399428373,1.35343652123736e-07,0.00376759235427352,1.14145939809004e-07,0.00816661287363388,2.56155224974199e-15,8.57816225660331e-16,0.00709836241618619,0.0556212535851616,8.51268939014745e-13,1.02797076796116e-16,0.0050129544474203,0.00384759580362448,8.43731146859472e-07,0.0119267229079647,4.21793073144908e-11,2.90348109043919e-05,2.30321018685026e-11,8.36989984819311e-06,9.78328377933604e-11,2.66827940894885e-19,0.0157895530621387,5.68517926972806e-11,0.00138626680978511,3.02883342921386e-05,0.00240646849666002,7.94414975997259e-14,0.0192771976654527,1.67289716835854e-13,6.20051358513222e-08,0.00357411584220413,4.28442804292402e-06,8.97385952993478e-14,2.8747818816201e-08,0.0198251383805968,4.29525914127301e-08,1.79175396144255e-09,0.0140457035609626,4.0252848780901e-20,3.22551368799404e-07,0.0237887631490327
"X79.1",6.1544484018162e-15,0.272860198255585,4.63522454315576e-33,0.000451737487378251,5.92549734732729e-09,2.80448771461334e-14,0.300798826685312,3.19146865526173e-14,2.26448410187536e-15,9.02447820310223e-26,1.51458690861837e-11,5.0809357388781e-19,1.14828587147757e-14,2.08919913773776e-06,4.81771556559827e-22,1.84773710122327e-20,0.14383782907902,0.000226034525113449,1.15502958197468e-13,3.0347470017626e-13,4.68975427652034e-29,6.54037901087546e-09,9.34822857351552e-19,0.0197003434981941,0.147555689111018,1.82838350279982e-22,4.86916634629403e-11,6.91726968388128e-21,2.60838796219714e-17,1.78515307497567e-22,0.0315856368909895,5.88190470161487e-15,0.000839538004231558,2.28618003336995e-18,6.99055298636924e-06,2.15736696211362e-19,1.97256043940559e-19,0.00761468248351488,1.79748115341517e-19,0.0148507718795302,1.00999701352209e-11,2.49016545853474e-17,1.20527135268233e-15,0.0102292588244968,5.23586729439283e-20,2.57547345923791e-19,1.68694702764391e-15,2.14527751123874e-05,4.85077849608725e-28,7.16153584898725e-08,4.96163419516875e-20,8.72074687144602e-20,3.77982661310435e-25,0.0141865496692673,1.41326960696485e-12,1.24454537620188e-17,0.0174092943591576
"X97",3.73706390653339e-13,0.237531923916597,4.72129469775632e-20,0.00417255229246993,2.03400691909905e-08,1.60055435367826e-14,0.147767738832378,7.69564098664362e-24,8.26784734066926e-11,2.01793851124879e-31,3.15577390731925e-17,2.5573884879329e-07,2.86297904305053e-06,7.01689966557995e-25,2.3770336098837e-13,0.032393098077163,0.309743140652952,6.72602732191231e-15,7.05922069416119e-14,1.59673959785068e-20,1.10521586952595e-35,4.86685158098064e-10,3.4208798455127e-17,4.82783399435633e-08,0.226030662251309,7.86727881908161e-19,7.26372564082572e-18,1.28964215923498e-05,1.18600571366239e-21,1.01486855291645e-11,0.0545955782390384,1.50862538872545e-16,0.010653992341266,3.27378149294591e-10,0.00852429974411416,4.42747239108463e-30,7.06130024970641e-13,2.05555142241599e-13,1.36882536104797e-16,2.06578379737815e-10,6.62010355042594e-17,9.65571658578846e-27,2.87975704411349e-15,5.02179450720057e-16,1.13284700583521e-19,1.23335650182593e-16,9.63395979301049e-18,0.000297092895183019,3.49895536052665e-17,1.01056733007679e-20,3.64698869078989e-20,1.82970286085331e-11,1.25673333452283e-24,8.73747608405599e-30,7.25039917388672e-14,4.4887555981013e-20,0.00884203034704781
"X123",1.93443168987614e-24,0.19867051109662,0.00853658177116714,1.85562396377481e-36,7.1601883164242e-29,8.13093514745946e-23,0.0221242961951713,5.38875507074224e-32,5.9859464935485e-26,3.06669122877213e-31,8.15387454554446e-30,0.084315750316553,1.21845291596918e-20,2.22001100741098e-37,7.18286898753904e-24,0.0783973123578201,0.410219588588627,1.85853047880076e-23,1.29533957554138e-05,2.86999317462484e-31,6.2451171216721e-06,4.92819876358867e-27,1.21371058141684e-18,9.5659252839115e-15,0.196023480600821,2.91137004227384e-20,5.31584686167854e-13,0.0152358332138525,3.7601134672348e-22,6.92798450072445e-09,0.0716870694267496,1.81296890622098e-14,0.00661094085742802,5.13526128593555e-18,0.00019120650948028,3.82500311080948e-37,2.9358978513344e-21,5.63521917042261e-28,6.61186812991732e-26,8.38868821793961e-49,0.0102993069352423,2.06857522785396e-29,7.70724634350906e-28,6.97848822479752e-18,2.25413666495351e-07,3.50074182435561e-26,1.19464540312462e-17,0.00144132555621291,8.73191945264042e-09,6.66177850375542e-39,6.64777351203668e-07,9.79092898549353e-14,3.96319248934689e-15,6.62660314875917e-53,1.72340371068595e-31,8.26049588725274e-15,2.76372010563053e-16
"X63",1.16068532154016e-28,0.191058019923996,0.000102462996768995,3.07490295736328e-32,1.21388829491833e-09,9.38778717814347e-21,1.58207160613423e-16,3.58124779988571e-34,7.50770854488754e-26,1.66339383305618e-17,4.92707032218365e-20,0.19645614459422,1.66038405792611e-26,8.90989594025684e-29,3.79170667289154e-15,0.0650175501836045,0.385885884640314,2.07573343454095e-06,2.55848578956493e-27,2.59494199701145e-13,0.0153161736734061,3.50137971920441e-19,0.00233008794542654,5.43644266168122e-06,0.0964958418191482,4.30470858174324e-11,4.36712383410526e-18,0.0324496241975242,0.000818633389541463,5.57665054748532e-23,0.123200491921763,3.88535977052798e-09,3.48495155556795e-05,4.48561784675919e-22,1.50573255890388e-22,1.00953405130004e-22,1.05757920987347e-11,9.40826234971396e-22,1.81733330323926e-24,3.16823712570617e-51,0.0086989318146916,6.58111684806747e-20,3.51474399131707e-14,1.86476515267202e-13,6.87172144062509e-05,5.12345713168799e-11,2.00682435870391e-42,0.00137530599469611,3.86069182539197e-14,5.26512074231752e-32,0.000557886280517315,4.40568354292694e-34,3.28080906210466e-16,3.11195941578088e-36,2.15848432070929e-31,2.10189035072335e-14,1.59380649921311e-14
"X111",1.5824092126191e-14,0.187723025602446,3.60567527120665e-19,2.13314464415707e-11,1.08548384182865e-10,3.42584010771785e-17,1.04179894405036e-19,1.17812097307301e-15,2.86462132835496e-12,4.17514822330186e-17,6.00653708759014e-10,0.291050537051418,4.11012029910384e-11,5.91411150690216e-14,3.50214218865605e-10,0.0204139902773244,0.307758258705498,3.77775745238346e-14,1.84076119604766e-27,0.00636630778483557,3.10716309013829e-29,0.00109764032476308,7.16494580706791e-10,0.00104120711790554,0.009900781812808,1.91216021521768e-07,8.72448316330015e-28,0.0478613455134346,0.0104500384462136,1.77578182326724e-21,0.219053481699454,1.65522118857205e-21,1.86390683772063e-14,7.16724227870847e-20,3.26416922471382e-19,0.00310827138560291,2.24792518220504e-16,2.53786335084205e-19,1.37113956514201e-14,5.39454196375947e-09,9.01847073733306e-25,5.08099068800259e-17,3.0378757469068e-06,1.3788529201223e-14,1.88410657266818e-17,0.0166885314575493,1.80483852841209e-32,1.70399985575301e-08,1.06068293748286e-21,1.36449078635331e-23,8.54154248231014e-12,1.35773027287088e-08,4.17747279973457e-14,4.3641394427285e-17,4.44818389041061e-22,3.47466756255358e-15,1.65622978341432e-12
"X127",1.30817603207864e-11,0.166406053649717,2.31422468540953e-07,7.33147322006553e-13,3.33400470295404e-27,7.70223019374695e-08,1.1402257862593e-11,4.27037252813821e-11,9.37632329481267e-15,2.92311580566292e-10,4.45344062760963e-24,0.279811463996499,3.99651403147177e-15,2.65110621915033e-21,8.29339504707556e-19,9.5348104398055e-31,0.237187114761793,9.00620779619221e-29,2.47837234288584e-06,5.79039586704999e-06,8.81761655613212e-58,4.20929774757489e-20,0.000180012316355146,0.00814981599528793,1.09730192977828e-05,6.42979947898831e-08,4.85161391623113e-32,0.00757609227234674,2.74900582397223e-06,2.32077747560203e-19,0.242339072713379,1.40487572546377e-22,1.43192610308604e-23,3.6959993991952e-19,4.52072550389455e-16,0.00132274411582902,5.00536518753769e-16,3.48431145555033e-17,1.85578936194433e-24,0.0423688539987293,2.80860337285634e-24,1.67339891301316e-13,4.48518684444087e-30,7.78905331070619e-21,1.53747322517308e-15,4.49102749681114e-65,4.34799401291194e-26,1.03998463329154e-11,3.50720303158861e-08,1.70580067259058e-15,2.12179409274211e-06,0.135404285688782,2.271390739341e-07,1.61064076651609e-24,3.57384319775795e-14,1.7618318948127e-05,1.09948443007636e-32
